seed,distance_routing_correct,angular_routing_correct,density_routing_correct,distance_ari,angular_ari,density_ari
1000,True,True,False,0.9712401171026536,0.9117117002743796,0.0047165361231064
1001,True,True,False,0.9735285051659868,0.9129465617268726,-0.0007602518407455
1002,True,True,False,0.9682812623970448,0.9047969350024092,0.0023920746695078
1003,True,True,False,0.9715581054811196,0.9186500014364568,-0.0021277535360754
1004,True,True,False,0.9708996712817628,0.9188632217888448,0.0015945814097557
1005,True,False,False,0.9718796788338988,,-0.004902329352814
1006,True,True,False,0.9709011645557216,0.9221803329676532,-0.0072937258402614
1007,True,True,False,0.9712291418361124,0.9081837623739936,0.0027025590498572
1008,True,True,False,0.974509164389641,0.9320298002789412,-0.0081817292277212
1009,True,False,False,0.9731993265088772,-0.0007835079546393,-0.001341186872164
1010,True,True,False,0.9705737297143217,0.9198572637403476,-0.0019317434117395
1011,True,True,False,0.9735312633341388,0.9236292844191546,-0.011373863743985
1012,True,False,False,0.9637001734597176,,-0.0009595605546557
1013,True,False,False,0.9630537837502816,-0.0027724668565239,7.768620967745224e-05
1014,True,True,False,0.97451407697067,0.9133502127702638,0.0027566281373982
1015,True,False,False,0.9633817701146788,0.0023444455302199,-0.0040480397482952
1016,True,False,False,0.9692633210118542,-0.0021388611676692,-0.0022750427186256
1017,True,False,False,0.9676248972870136,-0.0005705158140561,-0.0022487386404586
1018,True,True,False,0.9702522953284176,0.908794962116268,-0.0009571599477432
1019,True,True,False,0.9623894224887296,0.9074582101277012,0.0060069615392911
1020,True,False,False,0.9718858173215388,0.0005675072918022,-0.0020488735493207
1021,True,True,False,0.963048818212699,0.9220483711848452,0.0017298201760023
1022,True,True,False,0.968289276240718,0.9169731438960902,0.0045290257154616
1023,True,False,False,0.9689321771035928,-0.0012082584370552,-0.0009781929860281
1024,True,False,False,0.9627219332776084,,-0.0011678202392001
1025,True,False,False,0.9712301614050316,-0.0021388611676692,-0.0012520610143342
1026,True,True,False,0.9640080918692396,0.9214131940415,-0.0066799406371098
1027,True,False,False,0.9741896140045182,-0.0007835079546393,-0.0052475881450359
1028,True,True,False,0.9650090286283476,0.9379585094291572,0.0001682150473164
1029,True,True,False,0.9676392666824588,0.9205776808327152,-0.0001081093591415
1030,True,False,False,0.9702464196648308,,-0.000975858314586
1031,True,True,False,0.9659859583269428,0.9248490103021866,0.0040729122561306
1032,True,True,False,0.9643637624846844,0.9196316075950304,-0.0006038812865357
1033,True,False,False,0.9630460231500289,,-0.0176327276342916
1034,True,True,False,0.9571732717021528,0.9267551670055144,0.000312046811369
1035,True,False,False,0.964027440839432,-0.0029828516563526,0.007204003185097
1036,True,False,False,0.971553852703796,0.0025601880718682,-0.0001259878102813
1037,True,False,False,0.9623933636351212,-0.002350472548733,-0.0048646714686859
1038,True,True,False,0.9712312289564312,0.9216199857078872,-0.0028907117033333
1039,True,True,False,0.9686072672296644,0.9128301985977656,-0.0019512706924689
1040,True,True,False,0.9669727818384992,0.9250974210737418,-0.0014688061231775
1041,True,True,False,0.9640286928643528,0.9104191758855156,0.0010307568086397
1042,True,True,False,0.97123196903354,0.9118330923966508,0.0021814136495429
1043,True,False,False,0.9663159932807444,0.0025601880718682,0.0052040963672633
1044,True,False,False,0.9659878916170443,,0.0061049757881357
1045,True,False,False,0.965014197223354,,-0.0015904144241788
1046,True,True,False,0.9663129842269442,0.9214131940415,0.0035261715888349
1047,True,True,False,0.9620727791299252,0.915711254142965,-0.001175329273642
1048,True,False,False,0.9692576547441404,0.0029929223220989,-0.0111357574869485
1049,True,True,False,0.9663210625460767,0.9228297203116168,0.0046872954686529
1050,True,True,False,0.9633904607116848,0.9121810933909204,-0.0056681914785176
1051,True,True,False,0.9692696002629112,0.9099126797794695,-0.0034591839024621
1052,True,True,False,0.96436025523969,0.9246384612627376,0.0051769273016037
1053,True,True,False,0.9692571749881154,0.9259517238562056,0.0020466694610189
1054,True,False,False,0.9672942799970886,-0.0007835079546393,0.002406825450833
1055,True,True,False,0.9666416518323216,0.9404035607410596,0.0014922916275774
1056,True,True,False,0.9699160686867448,0.9325171019328896,0.0006265955904964
1057,True,True,False,0.965676723371549,0.9375727541048005,-0.0046247833209061
1058,True,False,False,0.9708956742854148,0.0063408977015542,-0.0021092911497867
1059,True,True,False,0.9666449726544968,0.9151114817733969,0.0055729974225295
1060,True,False,False,0.9669740033787312,,0.0043037129436591
1061,True,False,False,0.9679513892357898,,0.003462269590339
1062,True,False,False,0.9705737959729264,,0.0040617002167957
1063,True,True,False,0.9695931099329144,0.938655893904102,0.0015528197971865
1064,True,False,False,0.9653319824518164,-0.0003571111489282,0.001731419806596
