relational_fraction,ratio,seed,detected_pair,routing_correct,kurtosis_dev_true_pair,kurtosis_dev_strongest_competitor,oracle_ari_on_detected_pair
0.02,1.2,5000,"feature_3,feature_4",True,11.81904537135105,11.01038471329096,0.6852048785774854
0.02,1.2,5001,"feature_3,feature_4",True,11.747736668266402,10.791497438331232,0.5562971260044162
0.02,1.2,5002,"feature_3,feature_4",True,11.461264625268605,10.773163359807189,0.5562971260044162
0.02,1.2,5003,"feature_3,feature_4",True,12.118124775617336,10.685775755076902,0.621250255581072
0.02,1.2,5004,"feature_3,feature_4",True,11.949242406516252,10.75250720074537,0.6334824682762827
0.02,1.2,5005,"feature_3,feature_4",True,12.188979144226181,10.78749848691908,0.5872362377212235
0.02,1.2,5006,"feature_3,feature_4",True,12.471074637478996,11.065632029589496,0.7892869362677905
0.02,1.2,5007,"feature_3,feature_4",True,12.404058657404278,11.17929714678582,0.6077009177616689
0.02,1.2,5008,"feature_3,feature_4",True,11.618558964834696,10.940848867618154,0.5562971260044162
0.02,1.2,5009,"feature_3,feature_4",True,12.111890865466716,10.843637932042895,0.6077009177616689
0.02,1.2,5010,"feature_3,feature_4",True,11.698577010002408,10.763149261183463,0.6077009177616689
0.02,1.2,5011,"feature_3,feature_4",True,12.210994135315037,10.930052131858362,0.7111457383640741
0.02,1.2,5012,"feature_3,feature_4",True,11.680570789942932,10.771443010567465,0.621250255581072
0.02,1.2,5013,"feature_3,feature_4",True,12.098547854468451,10.99344941980227,0.7631867672092267
0.02,1.2,5014,"feature_3,feature_4",True,12.31977130213121,10.86756493227946,0.6334824682762827
0.02,1.6,5000,"feature_3,feature_4",True,16.709743959876626,11.01038471329096,0.8416465836568929
0.02,1.6,5001,"feature_3,feature_4",True,15.97310341427476,10.791497438331232,0.7111457383640741
0.02,1.6,5002,"feature_3,feature_4",True,15.408505542294265,10.773163359807189,0.6593171218815549
0.02,1.6,5003,"feature_3,feature_4",True,16.568414615205086,10.685775755076902,0.6852048785774854
0.02,1.6,5004,"feature_3,feature_4",True,16.413372523508173,10.75250720074537,0.7111457383640741
0.02,1.6,5005,"feature_3,feature_4",True,17.11180717041219,10.78749848691908,0.6608169855678112
0.02,1.6,5006,"feature_3,feature_4",True,17.551026422669786,11.065632029589496,0.8154402084170126
0.02,1.6,5007,"feature_3,feature_4",True,17.07402761843219,11.17929714678582,0.7371397012413212
0.02,1.6,5008,"feature_3,feature_4",True,15.844086875633927,10.940848867618154,0.7111457383640741
0.02,1.6,5009,"feature_3,feature_4",True,16.97670995771565,10.843637932042895,0.7631867672092267
0.02,1.6,5010,"feature_3,feature_4",True,16.29859500075716,10.763149261183463,0.7111457383640741
0.02,1.6,5011,"feature_3,feature_4",True,17.279993675975973,10.930052131858362,0.8416465836568929
0.02,1.6,5012,"feature_3,feature_4",True,16.52741058213593,10.771443010567465,0.7371397012413212
0.02,1.6,5013,"feature_3,feature_4",True,17.543833211486877,10.99344941980227,0.8416465836568929
0.02,1.6,5014,"feature_3,feature_4",True,17.63002028658677,10.86756493227946,0.7111457383640741
0.02,2.3,5000,"feature_3,feature_4",True,33.591558003633516,11.01038471329096,0.8942186434086287
0.02,2.3,5001,"feature_3,feature_4",True,30.952842031149405,10.791497438331232,0.8416465836568929
0.02,2.3,5002,"feature_3,feature_4",True,29.610370376450064,10.773163359807189,0.8416465836568929
0.02,2.3,5003,"feature_3,feature_4",True,32.417701873261265,10.685775755076902,0.8416465836568929
0.02,2.3,5004,"feature_3,feature_4",True,32.26890802767915,10.75250720074537,0.8416465836568929
0.02,2.3,5005,"feature_3,feature_4",True,34.27714085201343,10.78749848691908,0.8942186434086287
0.02,2.3,5006,"feature_3,feature_4",True,34.90393221677775,11.065632029589496,0.9470031155229977
0.02,2.3,5007,"feature_3,feature_4",True,33.494273765725566,11.17929714678582,0.8942186434086287
0.02,2.3,5008,"feature_3,feature_4",True,30.837566108267588,10.940848867618154,0.8679060619874317
0.02,2.3,5009,"feature_3,feature_4",True,33.9326363465675,10.843637932042895,0.8679060619874317
0.02,2.3,5010,"feature_3,feature_4",True,32.23977673782111,10.763149261183463,0.8942186434086287
0.02,2.3,5011,"feature_3,feature_4",True,35.12584315343271,10.930052131858362,0.9470031155229977
0.02,2.3,5012,"feature_3,feature_4",True,33.29280994469123,10.771443010567465,0.9205843279204841
0.02,2.3,5013,"feature_3,feature_4",True,36.00597450366672,10.99344941980227,0.9205843279204841
0.02,2.3,5014,"feature_3,feature_4",True,36.08840890767982,10.86756493227946,0.8942186434086287
0.02,3.0,5000,"feature_3,feature_4",True,63.66463073472639,11.01038471329096,0.9734750062161697
0.02,3.0,5001,"feature_3,feature_4",True,58.39153795471792,10.791497438331232,0.9470031155229977
0.02,3.0,5002,"feature_3,feature_4",True,55.89679803979679,10.773163359807189,0.9470031155229977
0.02,3.0,5003,"feature_3,feature_4",True,61.51494715046521,10.685775755076902,0.9734750062161697
0.02,3.0,5004,"feature_3,feature_4",True,61.030945902679434,10.75250720074537,0.9470031155229977
0.02,3.0,5005,"feature_3,feature_4",True,65.22042254496716,10.78749848691908,0.9734750062161697
0.02,3.0,5006,"feature_3,feature_4",True,65.69697066336249,11.065632029589496,0.9470031155229977
0.02,3.0,5007,"feature_3,feature_4",True,63.10959047219437,11.17929714678582,0.9734750062161697
0.02,3.0,5008,"feature_3,feature_4",True,58.29668933876522,10.940848867618154,0.9470031155229977
0.02,3.0,5009,"feature_3,feature_4",True,64.31384893415765,10.843637932042895,0.9734750062161697
0.02,3.0,5010,"feature_3,feature_4",True,61.036631827369135,10.763149261183463,0.9470031155229977
0.02,3.0,5011,"feature_3,feature_4",True,67.07957144072829,10.930052131858362,1.0
0.02,3.0,5012,"feature_3,feature_4",True,63.285254283064404,10.771443010567465,0.9734750062161697
0.02,3.0,5013,"feature_3,feature_4",True,68.60562155412046,10.99344941980227,0.9734750062161697
0.02,3.0,5014,"feature_3,feature_4",True,69.16701944114236,10.86756493227946,0.9470031155229977
0.02,4.0,5000,"feature_3,feature_4",True,131.91324355567423,11.01038471329096,1.0
0.02,4.0,5001,"feature_3,feature_4",True,122.24932465343626,10.791497438331232,0.9734750062161697
0.02,4.0,5002,"feature_3,feature_4",True,117.46713350640017,10.773163359807189,1.0
0.02,4.0,5003,"feature_3,feature_4",True,129.21021325550652,10.685775755076902,0.9734750062161697
0.02,4.0,5004,"feature_3,feature_4",True,127.10900928912187,10.75250720074537,1.0
0.02,4.0,5005,"feature_3,feature_4",True,136.2508833446407,10.78749848691908,1.0
0.02,4.0,5006,"feature_3,feature_4",True,135.56387647340298,11.065632029589496,1.0
0.02,4.0,5007,"feature_3,feature_4",True,130.96952248069508,11.17929714678582,1.0
0.02,4.0,5008,"feature_3,feature_4",True,122.14340335113656,10.940848867618154,1.0
0.02,4.0,5009,"feature_3,feature_4",True,133.52977534657646,10.843637932042895,1.0
0.02,4.0,5010,"feature_3,feature_4",True,127.43862039606461,10.763149261183463,1.0
0.02,4.0,5011,"feature_3,feature_4",True,139.55973035728329,10.930052131858362,1.0
0.02,4.0,5012,"feature_3,feature_4",True,131.68540158294897,10.771443010567465,1.0
0.02,4.0,5013,"feature_3,feature_4",True,142.27063978678677,10.99344941980227,1.0
0.02,4.0,5014,"feature_3,feature_4",True,144.56729055621082,10.86756493227946,1.0
0.04,1.2,5000,"feature_3,feature_4",True,14.636694230694943,10.824987139976681,0.750686927630866
0.04,1.2,5001,"feature_3,feature_4",True,15.63662535992053,10.791497438331232,0.6294578114839601
0.04,1.2,5002,"feature_3,feature_4",True,14.043105715645705,10.773163359807189,0.6434759381038531
0.04,1.2,5003,"feature_3,feature_4",True,14.961806885263929,10.685775755076902,0.7195532322515111
0.04,1.2,5004,"feature_3,feature_4",True,14.272912041572837,10.75250720074537,0.6965252282702937
0.04,1.2,5005,"feature_3,feature_4",True,14.01273692033437,10.78749848691908,0.6283556750542768
0.04,1.2,5006,"feature_3,feature_4",True,14.72579293039171,11.065632029589496,0.7655803918599274
0.04,1.2,5007,"feature_3,feature_4",True,15.728129730072176,11.17929714678582,0.6696136339005093
0.04,1.2,5008,"feature_3,feature_4",True,13.663402278616461,10.940848867618154,0.6890271188124926
0.04,1.2,5009,"feature_3,feature_4",True,15.820834045927793,10.843637932042895,0.7655803918599274
0.04,1.2,5010,"feature_3,feature_4",True,15.293458323345629,10.763149261183463,0.704274309568676
0.04,1.2,5011,"feature_3,feature_4",True,14.889095170946868,11.003074600742215,0.683055326476193
0.04,1.2,5012,"feature_3,feature_4",True,14.323254802663207,10.771443010567465,0.683055326476193
0.04,1.2,5013,"feature_3,feature_4",True,15.451877238724464,10.99344941980227,0.7348638868609981
0.04,1.2,5014,"feature_3,feature_4",True,14.427861502151156,10.86756493227946,0.6696136339005093
0.04,1.6,5000,"feature_3,feature_4",True,22.299235043498346,10.824987139976681,0.8465559564209205
0.04,1.6,5001,"feature_3,feature_4",True,23.3381031149181,10.791497438331232,0.7348638868609981
0.04,1.6,5002,"feature_3,feature_4",True,21.00248585655708,10.773163359807189,0.7502062733971369
0.04,1.6,5003,"feature_3,feature_4",True,22.789848483261707,10.685775755076902,0.7779370326216538
0.04,1.6,5004,"feature_3,feature_4",True,21.244511559130512,10.75250720074537,0.7655803918599274
0.04,1.6,5005,"feature_3,feature_4",True,20.80027120441663,10.78749848691908,0.7502062733971369
0.04,1.6,5006,"feature_3,feature_4",True,21.915520045410325,11.065632029589496,0.8118931388082098
0.04,1.6,5007,"feature_3,feature_4",True,23.61002795659097,11.17929714678582,0.7996955488756833
0.04,1.6,5008,"feature_3,feature_4",True,20.4008175380677,10.940848867618154,0.8052999744861096
0.04,1.6,5009,"feature_3,feature_4",True,24.32132096736015,10.843637932042895,0.8603643688360247
0.04,1.6,5010,"feature_3,feature_4",True,23.168890347554633,10.763149261183463,0.8052999744861096
0.04,1.6,5011,"feature_3,feature_4",True,22.168442147657224,11.003074600742215,0.8052999744861096
0.04,1.6,5012,"feature_3,feature_4",True,21.453610758894037,10.771443010567465,0.7873928047041123
0.04,1.6,5013,"feature_3,feature_4",True,23.57516036770614,10.99344941980227,0.8465559564209205
0.04,1.6,5014,"feature_3,feature_4",True,21.80494138768001,10.86756493227946,0.7916043989446733
0.04,2.3,5000,"feature_3,feature_4",True,46.123497884112865,10.824987139976681,0.9578131138574293
0.04,2.3,5001,"feature_3,feature_4",True,47.72236615987397,10.791497438331232,0.9019588613918391
0.04,2.3,5002,"feature_3,feature_4",True,43.16816375975741,10.773163359807189,0.9158801106806113
0.04,2.3,5003,"feature_3,feature_4",True,47.305705418755906,10.685775755076902,0.9158801106806113
0.04,2.3,5004,"feature_3,feature_4",True,43.61919914734672,10.75250720074537,0.8740463626695417
0.04,2.3,5005,"feature_3,feature_4",True,42.66036065923563,10.78749848691908,0.9298295691878002
0.04,2.3,5006,"feature_3,feature_4",True,44.47560106023992,11.065632029589496,0.9019588613918391
0.04,2.3,5007,"feature_3,feature_4",True,48.29853656258823,11.17929714678582,0.9298295691878002
0.04,2.3,5008,"feature_3,feature_4",True,41.910773491466486,10.940848867618154,0.9158801106806113
0.04,2.3,5009,"feature_3,feature_4",True,50.500131313651984,10.843637932042895,0.9578131138574293
0.04,2.3,5010,"feature_3,feature_4",True,47.727593486520185,10.763149261183463,0.9158801106806113
0.04,2.3,5011,"feature_3,feature_4",True,45.46336348862569,11.003074600742215,0.9298295691878002
0.04,2.3,5012,"feature_3,feature_4",True,44.124108697044555,10.771443010567465,0.9158801106806113
0.04,2.3,5013,"feature_3,feature_4",True,48.82637174224409,10.99344941980227,0.9019588613918391
0.04,2.3,5014,"feature_3,feature_4",True,45.14409690450169,10.86756493227946,0.9019588613918391
0.04,3.0,5000,"feature_3,feature_4",True,84.35755954657938,10.824987139976681,1.0
0.04,3.0,5001,"feature_3,feature_4",True,87.4466410312912,10.791497438331232,0.9578131138574293
0.04,3.0,5002,"feature_3,feature_4",True,79.51800328202947,10.773163359807189,0.9859094954007261
0.04,3.0,5003,"feature_3,feature_4",True,86.97021252080097,10.685775755076902,0.9859094954007261
0.04,3.0,5004,"feature_3,feature_4",True,80.24952059340742,10.75250720074537,0.9718472000198692
0.04,3.0,5005,"feature_3,feature_4",True,78.79798179798934,10.78749848691908,0.9859094954007261
0.04,3.0,5006,"feature_3,feature_4",True,81.12059581821683,11.065632029589496,0.9718472000198692
0.04,3.0,5007,"feature_3,feature_4",True,88.10335401814152,11.17929714678582,0.9578131138574293
0.04,3.0,5008,"feature_3,feature_4",True,77.26143056113646,10.940848867618154,0.9859094954007261
0.04,3.0,5009,"feature_3,feature_4",True,92.1777690099052,10.843637932042895,0.9859094954007261
0.04,3.0,5010,"feature_3,feature_4",True,87.42123327527543,10.763149261183463,0.9578131138574293
0.04,3.0,5011,"feature_3,feature_4",True,83.44816027056767,11.003074600742215,0.9859094954007261
0.04,3.0,5012,"feature_3,feature_4",True,81.10402748458483,10.771443010567465,0.9718472000198692
0.04,3.0,5013,"feature_3,feature_4",True,89.44262581557255,10.99344941980227,0.9578131138574293
0.04,3.0,5014,"feature_3,feature_4",True,83.10223187070335,10.86756493227946,0.9859094954007261
0.04,4.0,5000,"feature_3,feature_4",True,163.75971858224807,10.824987139976681,1.0
0.04,4.0,5001,"feature_3,feature_4",True,170.76340697547522,10.791497438331232,0.9859094954007261
0.04,4.0,5002,"feature_3,feature_4",True,156.23133750294107,10.773163359807189,1.0
0.04,4.0,5003,"feature_3,feature_4",True,169.88100268341117,10.685775755076902,1.0
0.04,4.0,5004,"feature_3,feature_4",True,157.16408798535204,10.75250720074537,1.0
0.04,4.0,5005,"feature_3,feature_4",True,155.44819604087473,10.78749848691908,1.0
0.04,4.0,5006,"feature_3,feature_4",True,158.0085839011987,11.065632029589496,1.0
0.04,4.0,5007,"feature_3,feature_4",True,171.02368685786954,11.17929714678582,1.0
0.04,4.0,5008,"feature_3,feature_4",True,151.9590474129465,10.940848867618154,1.0
0.04,4.0,5009,"feature_3,feature_4",True,178.1868277950033,10.843637932042895,1.0
0.04,4.0,5010,"feature_3,feature_4",True,170.34936143532542,10.763149261183463,1.0
0.04,4.0,5011,"feature_3,feature_4",True,162.91877505068678,11.003074600742215,1.0
