param,value,seed,ari_A,ari_B,ari_C,silhouette,epsilon,rho_B,observed_evr_error,theorem1_bound_evr,theorem1_holds
relational_fraction,0.02,2000,0.02491094856984494,0.0005166587747620216,4.457617517769477e-05,0.30735825517145365,0.055037018070761834,0.13204209330245828,0.006717974256342995,0.04953331626368565,True
relational_fraction,0.02,2001,0.041759683467984275,0.01016151025150162,0.00015489584391174731,0.3154473938739356,0.08223843441011494,0.16215988156281544,0.009001365626463243,0.07401459096910344,True
relational_fraction,0.02,2002,0.07233673936006771,0.007993452631721824,0.001095166658532655,0.3182200035239765,0.06848836628297239,0.1436608636085305,0.008268987042171317,0.06163952965467515,True
relational_fraction,0.02,2003,0.03741832816288716,0.00813950847926624,0.001529753045196835,0.31736030782382263,0.06404841289884909,0.14800451913430332,0.009621829037221396,0.05764357160896418,True
relational_fraction,0.02,2004,0.09752146033695462,0.002997889061391617,0.00019487977761180233,0.31584411326425776,0.05978655833577729,0.12338809831396301,0.009048440986076534,0.053807902502199564,True
relational_fraction,0.02,2005,0.0543030847419267,0.0038354532430190102,0.001010491379182939,0.31433856931683557,0.05053997779396144,0.13956213293429703,0.006913122017969476,0.045485980014565296,True
relational_fraction,0.02,2006,0.09635881417734808,0.004022332052392367,-0.0003483835369115242,0.30687293327346843,0.04379718522354049,0.14986678188768476,0.0076524737560732525,0.03941746670118644,True
relational_fraction,0.02,2007,0.13288580458308594,0.005842579721234397,0.001406295673098162,0.31353358003186477,0.05034179227135726,0.14096290886256196,0.006480517204245473,0.04530761304422153,True
relational_fraction,0.02,2008,0.08838945568953642,0.0034709381126338443,-0.0006541137004007236,0.30899042534548415,0.05775499572863426,0.14113113692497684,0.0089412728444353,0.051979496155770834,True
relational_fraction,0.02,2009,0.08872107610488698,0.00480265888067636,0.0010092935831957101,0.31249026479684183,0.05439453341590818,0.1406170737292395,0.006664752421753894,0.048955080074317356,True
relational_fraction,0.02,2010,0.09775673498913512,0.0032208095664486673,0.0005321062605045013,0.31307625581225623,0.07550380267536529,0.14506612020846343,0.009230170770134683,0.06795342240782876,True
relational_fraction,0.02,2011,0.05376788869350144,0.0017374289680083179,-0.0001220093356212224,0.3019759144326041,0.0566300309653307,0.18052555342095072,0.008594273682987309,0.05096702786879763,True
relational_fraction,0.02,2012,0.05934907971207255,0.0034700874363139504,-0.000543136741211066,0.3031953821303602,0.06329757787325344,0.18721703771384393,0.009859534112537571,0.056967820085928086,True
relational_fraction,0.02,2013,0.1166733504153001,0.006904173626345063,0.0015689333707926,0.3110036746116424,0.08444775096145037,0.18782941593774163,0.010797757501154415,0.07600297586530533,True
relational_fraction,0.02,2014,0.048162651812622116,0.014334764507483562,0.0014980002619945018,0.32569936265444965,0.05942848384888893,0.14365135100158524,0.005852214230108055,0.053485635464000036,True
relational_fraction,0.02,2015,0.10338619181131418,0.007225047113788265,0.0006520255643592197,0.32284476499145526,0.04350162877666836,0.17118605955468733,0.007816780712180837,0.03915146589900152,True
relational_fraction,0.02,2016,0.04807322137701326,0.006317760768666474,0.0009688022380984669,0.3176770190743508,0.049108092771949614,0.16219743811086546,0.008018181317127749,0.04419728349475465,True
relational_fraction,0.02,2017,0.06893864810411374,0.00829321553257229,0.0009522469976100958,0.3251463187171304,0.05205789805972065,0.1654505834056182,0.009349105438399175,0.04685210825374859,True
relational_fraction,0.02,2018,0.02946428956667885,0.009700292609255003,0.002915109397000788,0.31399768648998627,0.0497666978589709,0.17484246054797345,0.00708956961645778,0.04479002807307381,True
relational_fraction,0.02,2019,0.023239993563962204,0.008850971459065398,0.0028330300156691607,0.313980610536689,0.05234919085334911,0.13830922546281235,0.006611417799258235,0.0471142717680142,True
relational_fraction,0.04,2000,0.029555748388757495,0.02339000540684496,-0.0011822924914538398,0.31208031962615357,0.04696940846199959,0.2941324743866031,0.006464590284623995,0.04227246761579963,True
relational_fraction,0.04,2001,0.0485154354893102,0.024010621347496573,0.0004919842263688453,0.3169502759018827,0.08074558562023966,0.2661407449344434,0.010519710332273146,0.0726710270582157,True
relational_fraction,0.04,2002,0.143044488154646,0.027703593150057923,-0.0013836962776826447,0.3370956374301662,0.05702761690979662,0.2625966046740155,0.007762079875464933,0.05132485521881695,True
relational_fraction,0.04,2003,0.03130577561949774,0.03063402442605423,-0.003267270476716919,0.3220195388358322,0.05737034120672165,0.2894795602819016,0.00985368029055601,0.05163330708604948,True
relational_fraction,0.04,2004,0.12702441071377468,0.0349574396345555,0.003644897128886768,0.33007032867541397,0.07103793419952112,0.3033715578982163,0.01090925325333476,0.06393414077956901,True
relational_fraction,0.04,2005,0.06480709215693846,0.03262308325310044,0.0028670075651594973,0.33598113015107595,0.06185706851311995,0.2522837930689604,0.007680307183538892,0.05567136166180795,True
relational_fraction,0.04,2006,0.002034918017810509,0.028424596719202923,0.004039623532009968,0.3163870657484247,0.05060077144038783,0.22265436367842883,0.00623761833405605,0.04554069429634905,True
relational_fraction,0.04,2007,0.06390754045235722,0.02366202532919413,-0.0005921139259800416,0.3215423465712105,0.052741666050251046,0.2664270535955802,0.006578890461278486,0.04746749944522594,True
relational_fraction,0.04,2008,0.03783492908689825,0.0351408342118797,0.003704147378261725,0.32181903257629224,0.04988858081737172,0.24310963255662,0.006022083542575074,0.04489972273563455,True
relational_fraction,0.04,2009,0.021300790654867844,0.036022355889849006,0.0006286136583357636,0.3322158999573494,0.05737391678351875,0.2896185709626946,0.0057789442094079435,0.05163652510516688,True
relational_fraction,0.04,2010,0.06943015515398694,0.02822806168514691,-0.0031196314037554014,0.32601816123103433,0.06048887707364343,0.2635721904605037,0.00698300523063089,0.054439989366279085,True
relational_fraction,0.04,2011,0.08248757220079424,0.028689033612125717,0.0005845409648658528,0.309580782610353,0.05396012193005043,0.25966205996036584,0.00711452827759006,0.04856410973704539,True
relational_fraction,0.04,2012,0.013783493119494667,0.027385722679774967,-0.0009465849600269655,0.32128849050729097,0.06201440154379891,0.2588872575367818,0.008419226449270022,0.055812961389419026,True
relational_fraction,0.04,2013,0.04130917614363295,0.03650367604491837,0.004369013185773698,0.3285825210794241,0.04190107575808001,0.24466343242389688,0.007925840118428607,0.03771096818227201,True
relational_fraction,0.04,2014,0.08324773758287589,0.04366249846361546,0.004553875983332099,0.32697237216551134,0.0407721622655492,0.28346746731769257,0.007311887215484503,0.03669494603899428,True
relational_fraction,0.04,2015,0.06455721424956884,0.02516956273699056,0.00011225843984384652,0.31757918521621303,0.0526023226919082,0.2535636249114349,0.0097129222983517,0.04734209042271738,True
relational_fraction,0.04,2016,0.10931625698110405,0.03615485146475238,0.002319186736729237,0.3322897419729901,0.04819391481439846,0.2605763305010582,0.005770613535581215,0.04337452333295862,True
relational_fraction,0.04,2017,0.10836679996612014,0.029235636836429196,-0.00047336663505888923,0.3301013210634911,0.05767576271361618,0.26826374090517335,0.006907760798862872,0.051908186442254554,True
relational_fraction,0.04,2018,0.06993015268307771,0.03764813386154289,0.0010431303765487425,0.3381196100420962,0.043873852886706505,0.27171200489450975,0.0070242400293406785,0.039486467598035854,True
relational_fraction,0.04,2019,0.1068306232159157,0.025008266605995654,-0.0005789153070000935,0.3130997987730116,0.052615362796429054,0.24138720461007113,0.008134279726661243,0.04735382651678614,True
relational_fraction,0.08,2000,0.02236703589062423,0.12243765941697617,0.0013296972557458049,0.36041538489160924,0.04684174567425984,0.4369035689718272,0.006954777222156006,0.04215757110683386,True
relational_fraction,0.08,2001,0.04514722031709385,0.16399193150738017,0.002607033688810726,0.37022816927767693,0.07547532130955546,0.4073659229933044,0.012520788698497865,0.06792778917859991,True
relational_fraction,0.08,2002,0.01850450184058014,0.12112459053314201,0.004443212244750443,0.35004348532864615,0.04512140877865586,0.3907629638922016,0.0058252538600751524,0.040609267900790266,True
relational_fraction,0.08,2003,0.03890445469988893,0.15304264394065695,0.004961077684376537,0.36674974947768907,0.050691213471507984,0.4263492597053743,0.011263152752289474,0.04562209212435718,True
relational_fraction,0.08,2004,0.014663778283784332,0.14763440970416092,-0.0009663816490491124,0.3592276267509421,0.04299424576459802,0.4382903843817945,0.006502263450176182,0.03869482118813822,True
relational_fraction,0.08,2005,0.059252279322973424,0.10760793193350383,-0.001427872259725851,0.3486955852835489,0.07942783724396596,0.4157167531788589,0.009113816077995263,0.07148505351956937,True
relational_fraction,0.08,2006,0.06065158605907024,0.12918011746174687,0.004388775341030874,0.36142084602000113,0.049706679986663074,0.46083599229861893,0.008773277746982222,0.04473601198799677,True
relational_fraction,0.08,2007,0.09038485646982986,0.10103999708338166,0.002330916817752731,0.355400654308271,0.062077763221720594,0.41948180115584666,0.008975616111591145,0.05586998689954854,True
relational_fraction,0.08,2008,0.023431595491167048,0.12210023618735094,0.00013348971400414315,0.35564914192057334,0.07247061135438712,0.4170344340846822,0.007257992119105339,0.0652235502189484,True
relational_fraction,0.08,2009,0.005168374738145541,0.12459579874158089,-7.487920577948297e-05,0.3595416391744819,0.06277138081111311,0.45366370875936624,0.006420888390901014,0.056494242730001795,True
relational_fraction,0.08,2010,0.019376753011485073,0.11707803588111419,0.0047597466352162455,0.35441240842517757,0.05842444996571195,0.3911546269011687,0.008689885604969194,0.05258200496914076,True
relational_fraction,0.08,2011,0.008952630628746855,0.13907197496134951,-0.00036489983755764305,0.35653076115670546,0.068890810730344,0.4268863451836821,0.00921512971154922,0.0620017296573096,True
relational_fraction,0.08,2012,0.059002986144411705,0.1253265550746923,0.000577586602005277,0.3584714986040814,0.05275893668745252,0.41568164522420986,0.008502822064095538,0.04748304301870727,True
relational_fraction,0.08,2013,0.07858097825110885,0.12652535824667244,-0.0018216396154261672,0.3583803073317455,0.05718851988513651,0.4250373318395547,0.011453402684152136,0.05146966789662286,True
relational_fraction,0.08,2014,0.0964699876251604,0.1480714801665247,0.0036422900416518767,0.37856697328314115,0.04026137136691128,0.44042330671886637,0.005867841869059798,0.036235234230220154,True
relational_fraction,0.08,2015,0.012929607538484166,0.11272811896524434,-0.0032127392586084554,0.34770560657129945,0.05487300087026497,0.4160945825922854,0.008587514574207967,0.04938570078323847,True
relational_fraction,0.08,2016,0.023609462210939004,0.1402501593841496,-0.002140854145732276,0.36734216808796977,0.041666369278929305,0.43065958960636036,0.00592501261338374,0.037499732351036374,True
relational_fraction,0.08,2017,0.07390044596622142,0.14693348480798657,-0.004005364450079766,0.3673610405515675,0.03755800093630949,0.4031849771559741,0.005353824643686456,0.03380220084267854,True
relational_fraction,0.08,2018,0.05602640050332771,0.12403029336485563,-0.0038725408252126446,0.3685228158860236,0.047056794833772,0.4474660918414457,0.008397206219161301,0.042351115350394805,True
relational_fraction,0.08,2019,0.05266352193271181,0.12774891070085911,-0.0005106604176119483,0.3583904656820486,0.0435843255096473,0.3773839650138261,0.006406790695298037,0.03922589295868257,True
relational_fraction,0.12,2000,0.08117678236150053,0.22578761542095038,0.006237304010351992,0.38337436344062253,0.04979174033696626,0.5056111511488255,0.007579853651832047,0.04481256630326964,True
relational_fraction,0.12,2001,0.0020721111986470465,0.223756105570513,-0.0015455526701457197,0.38212122251687114,0.064698821523795,0.5423658702250692,0.009484698656797986,0.0582289393714155,True
