seed,detected_pair,routing_correct,kurtosis_dev_feature_3_4,kurtosis_dev_feature_5_6,oracle_ari_on_detected_pair,unsupervised_gmm_no_prior_ari,generic_minority_prior_gmm_ari,oracle_ari_on_true_relational_pair,oracle_ari_on_true_scale_pair_negative_control
1000,"feature_3,feature_4",True,65.68437369425908,8.229974621766138,0.9420783643413007,-0.09855396371588458,0.0,0.9420783643413007,0.45841625232741173
1001,"feature_3,feature_4",True,62.96910354308541,8.364062172884799,0.9349204349346147,-0.09784804527245212,-0.06419054482340521,0.9349204349346147,0.4860405847485038
1002,"feature_3,feature_4",True,63.91823309729946,8.097841826035197,0.930634453296006,-0.09852057902632322,0.0,0.930634453296006,0.4727666133414713
1003,"feature_3,feature_4",True,64.20593095413831,8.466534692508244,0.930634453296006,-0.09635553096715843,-0.06550952040585357,0.930634453296006,0.4703715442379975
1004,"feature_3,feature_4",True,63.094218450872546,8.096861365249344,0.934695561714796,-0.09597090731428805,-0.06830869454811532,0.934695561714796,0.5040241702344488
1005,"feature_3,feature_4",True,61.88842853675072,8.18794600775725,0.9392129985772756,-0.09610122239164001,-0.09610122239164001,0.9392129985772756,0.4727666133414713
1006,"feature_3,feature_4",True,64.67135249014646,8.169811707230648,0.9392129985772756,-0.09706867182950828,-0.09573098480128328,0.9392129985772756,0.4943823960930851
1007,"feature_3,feature_4",True,64.75489486496296,8.040246013269952,0.9249300497841645,-0.09667365420534685,-0.09704608743949623,0.9249300497841645,0.47233108591237155
1008,"feature_3,feature_4",True,64.09338121874863,8.375542517627453,0.9406453157923963,-0.09790650259665737,-0.10035491342930407,0.9406453157923963,0.45959899070557375
1009,"feature_3,feature_4",True,65.90736468960017,8.111116772569575,0.9361636209746659,-0.09630534047375451,-0.06848368503330668,0.9361636209746659,0.4727974427179884
1010,"feature_3,feature_4",True,63.63164947442259,8.24399891938605,0.9391019905436159,-0.09645491005259818,-0.06688452390601751,0.9391019905436159,0.4519887285305302
1011,"feature_3,feature_4",True,62.41346906640682,8.12600490659281,0.9377814126959384,-0.0945184530142026,-0.07011315149413817,0.9377814126959384,0.49046489654047576
1012,"feature_3,feature_4",True,64.10096969076706,8.281454178299784,0.9320623825084254,-0.09442587321399601,-0.07288443829152134,0.9320623825084254,0.49679083426774767
1013,"feature_3,feature_4",True,64.09768166362288,8.350893402932284,0.9508854828088844,-0.09398307824836478,-0.1003131063481112,0.9508854828088844,0.48716510301181054
1014,"feature_3,feature_4",True,63.759787908836046,8.161291479731204,0.9363505581483847,-0.09836661432791659,0.0,0.9363505581483847,0.47516301935206395
1015,"feature_3,feature_4",True,62.52476531605771,8.41269623122594,0.9332282528046627,-0.09622942656868239,-0.07495830671533234,0.9332282528046627,0.46558541675240656
1016,"feature_3,feature_4",True,61.30618872265954,8.071160473714425,0.9377814126959384,-0.0963805008447869,-0.09283253674961572,0.9377814126959384,0.45082485048513105
1017,"feature_3,feature_4",True,63.959125441479884,8.21941440488169,0.9376324305842725,-0.09877927603929054,-0.09916386609851832,0.9376324305842725,0.49267891452054924
1018,"feature_3,feature_4",True,61.53123663105959,8.29508854713758,0.9406453157923963,-0.09615275674532804,-0.06839627322512819,0.9406453157923963,0.48525804168784226
1019,"feature_3,feature_4",True,61.74764088085858,8.399528992915753,0.930634453296006,-0.0970234219754329,-0.09992495016473636,0.930634453296006,0.45959899070557375
1020,"feature_3,feature_4",True,62.891847033548046,8.06650744029349,0.9406453157923963,-0.09848689330991252,-0.094681360667109,0.9406453157923963,0.4617956292341637
1021,"feature_3,feature_4",True,65.18987860989303,8.076979099674539,0.9349204349346147,-0.09733339079440652,-0.09590044549709441,0.9349204349346147,0.45082485048513105
1022,"feature_3,feature_4",True,63.61166084943943,8.27085713712757,0.923505777240663,-0.09994263910500713,-0.09719486435077102,0.923505777240663,0.4617956292341637
1023,"feature_3,feature_4",True,61.199131613547785,8.092861337100915,0.9320623825084254,-0.09647954660455682,-0.10044792613026192,0.9320623825084254,0.4355648175365824
1024,"feature_3,feature_4",True,62.5545314118813,7.9421632691434105,0.9435151725200662,-0.09752436156219199,-0.07435522373728581,0.9435151725200662,0.4847620124656235
1025,"feature_3,feature_4",True,62.697003228425814,8.0097131302508,0.9420783643413007,-0.09652857045466968,-0.06361453429603603,0.9420783643413007,0.43460593654015617
1026,"feature_3,feature_4",True,61.742623189104094,8.166004906667828,0.930634453296006,-0.09890149120586808,-0.09161077934850208,0.930634453296006,0.43770088183621764
1027,"feature_3,feature_4",True,62.97347170857404,8.094280562383089,0.930634453296006,-0.09693194771306743,-0.06283634624817691,0.930634453296006,0.47516301935206395
1028,"feature_3,feature_4",True,61.98112795871774,8.196108249064299,0.9392129985772756,-0.10000231967040772,-0.03561075857485691,0.9392129985772756,0.47756076226977556
1029,"feature_3,feature_4",True,63.668692188605064,8.317945620216612,0.9349204349346147,-0.09846993738557736,-0.06891825025241173,0.9349204349346147,0.44649438309479794
1030,"feature_3,feature_4",True,64.74044134601118,8.129909125377896,0.9377814126959384,-0.0986361122322344,-0.06697480886577337,0.9377814126959384,0.48262629858687556
1031,"feature_3,feature_4",True,63.51133397464902,8.208196221854864,0.9405723008526959,-0.09758658850378127,-0.09828906006744276,0.9405723008526959,0.4727666133414713
1032,"feature_3,feature_4",True,63.91942900414395,8.113394279535166,0.9405723008526959,-0.09652857045466968,-0.06184704248203536,0.9405723008526959,0.47437170402166806
1033,"feature_3,feature_4",True,62.90787566672783,8.32756386778202,0.9392129985772756,-0.09802131887250098,-0.07086452127064408,0.9392129985772756,0.45959899070557375
1034,"feature_3,feature_4",True,63.48741951698406,7.958859131507612,0.9392129985772756,-0.09866844786210995,0.0,0.9392129985772756,0.4682533309871125
1035,"feature_3,feature_4",True,63.84386385824418,8.502087596341946,0.9449877338783564,-0.09836661432791659,0.0,0.9449877338783564,0.46558541675240656
1036,"feature_3,feature_4",True,63.40542332230254,8.079097969921468,0.9420783643413007,-0.09575798445510535,-0.09968108038264292,0.9420783643413007,0.43770088183621764
1037,"feature_3,feature_4",True,64.42394887617698,8.041922672982778,0.9449877338783564,-0.09860347758767612,-0.09428766381278313,0.9449877338783564,0.47845642153359513
1038,"feature_3,feature_4",True,63.95885633899093,7.887517157929141,0.9406453157923963,-0.09936880623611358,0.0,0.9406453157923963,0.47059459724244007
1039,"feature_3,feature_4",True,62.9421782808635,7.956478474009716,0.9406453157923963,-0.09556718387519217,-0.06848368503330668,0.9406453157923963,0.45604791655800775
1040,"feature_3,feature_4",True,62.53030401263686,8.225748994386585,0.9406453157923963,-0.09848689330991252,-0.09499252430574269,0.9406453157923963,0.47437170402166806
1041,"feature_3,feature_4",True,62.89759236747139,8.078791570190429,0.930634453296006,-0.09655295792630697,-0.06777970339124194,0.930634453296006,0.48716510301181054
1042,"feature_3,feature_4",True,62.67431837418998,8.18438629121698,0.9392129985772756,-0.09778888571503674,-0.06733423969804582,0.9392129985772756,0.4727666133414713
1043,"feature_3,feature_4",True,62.883994860803256,8.022674988663855,0.9320623825084254,-0.09861983232250862,-0.072007710399282,0.9320623825084254,0.4580792512184135
1044,"feature_3,feature_4",True,63.26967328829653,8.169971238625443,0.9420783643413007,-0.09640538725994502,-0.09974354452350054,0.9420783643413007,0.45520943781656903
1045,"feature_3,feature_4",True,61.06129624899319,7.795205733293768,0.9200562383516153,-0.09894610626696225,0.0,0.9200562383516153,0.4816212385140986
1046,"feature_3,feature_4",True,63.981973323278,7.941115168136276,0.9363505581483847,-0.09720248025215143,-0.09948632253715346,0.9363505581483847,0.45082485048513105
1047,"feature_3,feature_4",True,63.82665309275505,8.257318021035145,0.9334910430546283,-0.0986361122322344,-0.06073720050991546,0.9334910430546283,0.4540177423287133
1048,"feature_3,feature_4",True,63.28475334365655,7.968073530688198,0.9363505581483847,-0.09655295792630697,0.0,0.9363505581483847,0.47941342748098353
