relational_fraction,ratio,seed,ari_A,ari_B,ari_C,silhouette,epsilon,rho_B,observed_evr_error,theorem1_bound_evr,theorem1_holds
0.02,1.2,3000,0.05434123381763005,0.0035789571965341243,0.0012026424657243973,0.3179383136142729,0.06400840600516167,0.1416057136375452,0.008105521216124557,0.0576075654046455,True
0.02,1.2,3001,0.055351958912821506,0.0011045794219821487,-6.158040751665592e-05,0.31695046339038707,0.061232656464448885,0.10010425364887147,0.007666874870116869,0.055109390818004,True
0.02,1.2,3002,0.04673532916293468,-0.0016813534520671244,-0.0009817008532281464,0.3156684608351785,0.04370043346270895,0.04323173368126988,0.007841276333109649,0.03933039011643806,True
0.02,1.2,3003,0.03242463054151747,0.00458693145616251,-0.0013653082704600185,0.30751131802740117,0.07171418152521386,0.11689214355619901,0.008383246037540515,0.06454276337269246,True
0.02,1.2,3004,0.069389274478749,0.005180698015344399,-0.00033417435613902763,0.3187617199158941,0.044169015027687025,0.08900881095936881,0.00829808756835918,0.03975211352491832,True
0.02,1.2,3005,0.07950216361408771,-0.0024802927450528482,0.00046277385391659475,0.311500225305526,0.04899253601006824,0.11606913611703185,0.011251304602532541,0.04409328240906142,True
0.02,1.2,3006,0.0716267773086051,0.007860836186438538,-0.0009237406879930767,0.3151472980292826,0.05111819305627231,0.1133570159884556,0.008935344846542403,0.04600637375064508,True
0.02,1.2,3007,0.06915782956104895,-0.0009796256456880074,-0.00029831343857269143,0.31467169231051084,0.0409737993206454,0.06360308873134776,0.0060450075295671365,0.036876419388580856,True
0.02,1.2,3008,0.059679772271514345,-0.0011057489110668853,-0.0008234234952167576,0.31699473767648345,0.054225259740940064,0.11593644120727593,0.0109790517511841,0.04880273376684606,True
0.02,1.2,3009,0.1310380081811434,0.00013976210607753736,0.0007301166552736394,0.3190331792665421,0.04138662944601135,0.055947272464410974,0.00742399281983388,0.03724796650141021,True
0.02,1.2,3010,0.09879639181444519,0.0037215896026148772,-0.0008297291017158815,0.3230419220817633,0.04501013820597315,0.06965906795683256,0.008802972929620744,0.040509124385375836,True
0.02,1.2,3011,0.079681075896808,0.005043141062043397,0.0009248125166670209,0.32309609174187276,0.04140678769369051,0.09150305777261415,0.00664823766887569,0.03726610892432146,True
0.02,1.2,3012,0.020820922478801435,-0.0013556148063574138,0.00024602936040312297,0.3185433674672792,0.06301835244452043,0.07447222240340622,0.0076151548939997205,0.05671651720006839,True
0.02,1.2,3013,0.053541346611031895,0.00522014804987093,0.0019746302324429423,0.3148070937429693,0.06640897073126918,0.11302758219414073,0.0061279095819518625,0.05976807365814226,True
0.02,1.2,3014,0.09840923565000706,0.0007474976802254987,4.2456169806244784e-05,0.3132018644399435,0.06778139984222939,0.09084692249192935,0.006440116740197177,0.061003259858006455,True
0.02,1.6,3000,0.053740521899205695,0.004640434656115947,0.001365151322136084,0.31755355889541614,0.06400840600516167,0.16383938584559707,0.008325140125711616,0.0576075654046455,True
0.02,1.6,3001,0.041260430010673615,0.0019666015256754135,0.00033750395407176155,0.31462803247190246,0.061232656464448885,0.12490770526899347,0.007697896139049076,0.055109390818004,True
0.02,1.6,3002,0.041181796211577824,-0.001889323149246829,-0.0008604936826762336,0.3145029816453232,0.04370043346270895,0.07090129753986546,0.008566108800810279,0.03933039011643806,True
0.02,1.6,3003,0.030392452411549774,0.007051675126663547,-0.0015035461337527159,0.3143128748334649,0.07171418152521386,0.1417162691456392,0.008418978589390735,0.06454276337269246,True
0.02,1.6,3004,0.06523145359513795,0.00564931196700159,-3.7254869830556086e-05,0.3178399146030282,0.044169015027687025,0.11158262662955411,0.008350206166243147,0.03975211352491832,True
0.02,1.6,3005,0.07003182455495156,-0.0026361545843772596,0.0009021812211518053,0.3067391299302899,0.04899253601006824,0.14270294692484856,0.011487363663050787,0.04409328240906142,True
0.02,1.6,3006,0.06634285273410494,0.006001909453172926,0.0005687176138447896,0.314740019117404,0.05238327389018946,0.13781862807199433,0.009001569151617017,0.047144946501170515,True
0.02,1.6,3007,0.06551902929282426,-0.0013987942276106466,-0.00037119842588549613,0.31130628053132303,0.0409737993206454,0.09180327303379258,0.004699648779986865,0.036876419388580856,True
0.02,1.6,3008,0.059944576808171564,-0.001000808791430634,-0.0003293523682317484,0.3147503917378813,0.054225259740940064,0.1413809980592495,0.010967883544516211,0.04880273376684606,True
0.02,1.6,3009,0.13206761037681966,-0.0011502705097743316,0.0002715070233736197,0.3078025618771672,0.04298968524363592,0.08539284794660196,0.006902123719798059,0.03869071671927232,True
0.02,1.6,3010,0.09788482163394728,0.0042770201518668146,-0.0010425782164912255,0.3208433195134667,0.04501013820597315,0.09573708682551234,0.008691872639699571,0.040509124385375836,True
0.02,1.6,3011,0.07425188386932345,0.005914120551191792,0.0007238439039949141,0.3210651864650081,0.04140678769369051,0.11931506447395486,0.0069864074908668194,0.03726610892432146,True
0.02,1.6,3012,0.018540981902883242,-0.0015044921333117842,0.00040101758962213837,0.3185760422175752,0.06233337852657092,0.09867072284443101,0.006773663047802714,0.05610004067391383,True
0.02,1.6,3013,0.051347336845065455,0.006046397970647521,0.0020714437268035068,0.3138950898939737,0.06640897073126918,0.1396553033075585,0.006794707239957754,0.05976807365814226,True
0.02,1.6,3014,0.09024989164719056,0.0031421114414168913,0.0010355284172984692,0.30900392111015246,0.06778139984222939,0.12096501324214297,0.007005042797296546,0.061003259858006455,True
0.02,2.3,3000,0.053360728610818524,0.007078749789876648,0.0022760842210671145,0.31809710936672675,0.06400840600516167,0.1954219441775961,0.008501795814231406,0.0576075654046455,True
0.02,2.3,3001,0.03261742930223161,0.0041638417865187665,0.00021085736065531318,0.3120622213012936,0.061232656464448885,0.16065243395769488,0.007742204922640561,0.055109390818004,True
0.02,2.3,3002,0.036440372604813816,-0.0012994668004296603,-0.0011197965319120345,0.31386132565865144,0.04370043346270895,0.11228019391028785,0.00873947342669954,0.03933039011643806,True
0.02,2.3,3003,0.042029687231654254,0.01066987572396326,-0.0007117914378891851,0.3241294501719767,0.07171418152521386,0.17720553838276734,0.008431935287713244,0.06454276337269246,True
0.02,2.3,3004,0.0667404179630985,0.008468802132762288,0.0003083803629126424,0.32015685905538305,0.044169015027687025,0.14483607941463802,0.008301451539304528,0.03975211352491832,True
0.02,2.3,3005,0.07094735738541956,-0.0017901586447796006,0.00046040889301475436,0.30029950499666336,0.04899253601006824,0.18067188497757455,0.011430099661214244,0.04409328240906142,True
0.02,2.3,3006,0.06791145985300155,0.010231496155518171,0.0009073899337295652,0.3195236999241057,0.05602146624781902,0.1726918111013839,0.009039808526781578,0.05041931962303712,True
0.02,2.3,3007,0.06217900969063575,-0.001718910359550553,-0.0004015672462336476,0.3101503049174236,0.0409737993206454,0.13329589098676,0.005404792359092425,0.036876419388580856,True
0.02,2.3,3008,0.06882196211659232,0.006375237678606127,0.0009621235888541519,0.3099130052537638,0.054225259740940064,0.1776278953740751,0.010922361415090908,0.04880273376684606,True
0.02,2.3,3009,0.12188847495043438,0.007177485609900141,8.530705989590299e-05,0.31353639057184696,0.044570443940465894,0.12869248941029807,0.006928095556573266,0.04011339954641931,True
0.02,2.3,3010,0.09706774686316134,0.00633657152625013,-0.0011573545600909937,0.3214095022931061,0.04501013820597315,0.1341742551783855,0.008581292029824827,0.040509124385375836,True
0.02,2.3,3011,0.07974216573190789,0.0066461669666179266,0.0013571895256529712,0.319006962133076,0.04140678769369051,0.15954906914467182,0.0071402864821275,0.03726610892432146,True
0.02,2.3,3012,0.01876228910356353,0.001512764736259484,-5.733396257271253e-05,0.3083957164969846,0.06013605574775667,0.13462872737566195,0.006475054536159574,0.05412245017298101,True
0.02,2.3,3013,0.05050529155785066,0.006922078782576598,0.0028715491686659095,0.3105705013043586,0.06640897073126918,0.17757359049108778,0.0070616204022733945,0.05976807365814226,True
0.02,2.3,3014,0.08988100668086671,0.007783841312723248,0.002067339115779783,0.3123731864708972,0.06778139984222939,0.16372477761642754,0.0070260110462173845,0.061003259858006455,True
0.02,3.0,3000,0.05608722964588121,0.007890773877750695,0.0023252320757457916,0.3172662222903178,0.06400840600516167,0.21861216882820914,0.008579398482169421,0.0576075654046455,True
0.02,3.0,3001,0.022103897481454714,-0.0006175858020711569,-0.0005239414927939868,0.3092772902746309,0.061232656464448885,0.18744201259360505,0.007773511421072165,0.055109390818004,True
0.02,3.0,3002,0.03759907560641293,0.006634746821362592,0.0012449232463785872,0.3058954650299952,0.04370043346270895,0.14478276953673613,0.008774933434282928,0.03933039011643806,True
0.02,3.0,3003,0.05102883617572031,0.013831755332031728,-0.0009982994146521755,0.32923717171348893,0.07171418152521386,0.2035136331158803,0.008429434590561313,0.06454276337269246,True
0.02,3.0,3004,0.07023425554179867,0.009980256559307734,0.00016840142371721205,0.3208365894306551,0.044169015027687025,0.17048919129479193,0.008254973595009051,0.03975211352491832,True
0.02,3.0,3005,0.06718093856449792,-0.002472419715981388,0.00015678721689902912,0.3058099020106189,0.04899253601006824,0.20872582893051536,0.011342419851448394,0.04409328240906142,True
0.02,3.0,3006,0.07652615896876383,0.01507769819224555,0.00040765580737747405,0.3240586919959626,0.058019462873159906,0.1984536120954423,0.009054700464782028,0.052217516585843914,True
0.02,3.0,3007,0.06851723545226888,-0.0010672561153264213,-0.0004724315067317071,0.3079232860243554,0.0409737993206454,0.16521764897914742,0.0058115597866482795,0.036876419388580856,True
0.02,3.0,3008,0.06499196441618724,0.009102291373284286,0.0019126285751030535,0.31329824899296116,0.054225259740940064,0.2043789869613924,0.010885976409374276,0.04880273376684606,True
0.02,3.0,3009,0.12979697461251147,0.008991248968445801,-0.0006169273070283359,0.3170478972066852,0.04505218528460809,0.16197843353050745,0.007083379964458181,0.04054696675614728,True
0.02,3.0,3010,0.09939613036491414,0.008152276340588571,-0.0012297816953761632,0.32226868839626366,0.04501013820597315,0.16382495022067076,0.008544298158109354,0.040509124385375836,True
