seed,config,ari_k4,sil_k4
1000,A_only,0.061639627731454524,0.3101989529205109
1000,A_plus_B,0.05333618828621317,0.3786715684246249
1000,A_plus_C,0.12791488631091452,0.31931690286794073
1000,A_plus_B_plus_C,0.10662222276065454,0.3974977939387733
1001,A_only,0.04612744997449505,0.307439945599467
1001,A_plus_B,0.03277413259060477,0.38218765195477833
1001,A_plus_C,0.12719038744538247,0.31774141913689585
1001,A_plus_B_plus_C,0.02775518051349964,0.38350212681219636
1002,A_only,0.024626590048093065,0.30960341959182924
1002,A_plus_B,0.049938740481883535,0.38860535950195857
1002,A_plus_C,0.046162925679151603,0.3026203793224951
1002,A_plus_B_plus_C,0.025660187209155104,0.38060767419426417
1003,A_only,0.019240977757271686,0.31707879532349775
1003,A_plus_B,0.014160057488735587,0.3745455728215058
1003,A_plus_C,0.026526830251234118,0.3119216923655364
1003,A_plus_B_plus_C,0.06897904979855686,0.3759443757079573
1004,A_only,0.08695212621919184,0.31005450934064693
1004,A_plus_B,0.0943338815619154,0.37648525674611283
1004,A_plus_C,0.02274844138223344,0.31064694533905324
1004,A_plus_B_plus_C,0.004138674792213084,0.37346096877373486
1005,A_only,0.10904512007529076,0.3073164135957877
1005,A_plus_B,0.06352951539583508,0.3756645451959429
1005,A_plus_C,0.15948875332618626,0.30574873296246674
1005,A_plus_B_plus_C,0.04678443662681227,0.3727194330945356
1006,A_only,0.062170417081399164,0.3201707463736724
1006,A_plus_B,0.10396521661769044,0.3670897305865634
1006,A_plus_C,0.037215130210296966,0.3116434553260416
1006,A_plus_B_plus_C,0.06816508957169527,0.37813625473421286
1007,A_only,0.0776834419685049,0.30354667326544615
1007,A_plus_B,0.0637158786194207,0.3721987853495644
1007,A_plus_C,0.08897911584252123,0.3080881731702166
1007,A_plus_B_plus_C,0.009626757231347993,0.3812107155976922
1008,A_only,0.06737468665698271,0.3102252298272263
1008,A_plus_B,0.06740934796110903,0.3863260365880682
1008,A_plus_C,0.07974161484572555,0.3176191369513343
1008,A_plus_B_plus_C,0.08160800114597094,0.37442235534531154
1009,A_only,0.06041425340647724,0.309449104360256
1009,A_plus_B,0.01981587714792865,0.3844855349862637
1009,A_plus_C,0.09123226746640495,0.30687601098366935
1009,A_plus_B_plus_C,0.022008941957638375,0.37848506166068313
1010,A_only,0.10600942562464044,0.3155894933629377
1010,A_plus_B,0.03194056030348993,0.3795088946423268
1010,A_plus_C,0.07914860541769934,0.305874507537407
1010,A_plus_B_plus_C,0.02922047266735801,0.3791567102422939
1011,A_only,0.0646708941385022,0.32180261604886673
