seed,detected_pair,routing_correct,routing_confident_eigengap,eigengap_ratio,n_clusters_found_hdbscan,ari_hdbscan_on_detected_pair,oracle_ari_on_detected_pair,n_clusters_found_hdbscan_true_scale_pair,ari_hdbscan_true_scale_pair
1000,"feature_3,feature_4",True,True,0.8376530180449802,3,0.8689165401154427,0.9420783643413007,3,0.03243583228391404
1001,"feature_3,feature_4",True,True,0.8308957615500522,2,0.8648602126300581,0.9349204349346147,4,0.022129506047719516
1002,"feature_3,feature_4",True,True,0.8331874519630539,2,0.8637676161269275,0.930634453296006,2,0.012224770364024558
1003,"feature_3,feature_4",True,True,0.8321885784267727,3,0.8159895438740307,0.930634453296006,4,0.003899798432078466
1004,"feature_3,feature_4",True,True,0.8301780941306927,3,0.8399419610984606,0.934695561714796,3,0.022273808590358327
1005,"feature_3,feature_4",True,True,0.8272276940605813,3,0.8333330417254019,0.9392129985772756,2,0.18463541605783065
1006,"feature_3,feature_4",True,True,0.8356624379194167,2,0.8777674034857335,0.9392129985772756,3,0.0906834279455142
1007,"feature_3,feature_4",True,True,0.8353945009551887,2,0.7973121855797691,0.9249300497841645,2,0.41467251748778394
1008,"feature_3,feature_4",True,True,0.8342749387936456,2,0.8679159879201953,0.9406453157923963,2,0.0260071585395997
1009,"feature_3,feature_4",True,True,0.8367905343721617,2,0.7283184079514851,0.9361636209746659,2,0.016539521705763068
1010,"feature_3,feature_4",True,True,0.8331954097962346,2,0.7816286000369809,0.9391019905436159,2,0.06705108856205516
1011,"feature_3,feature_4",True,True,0.8281101531039633,2,0.8396004389296754,0.9377814126959384,2,0.06653386988753764
1012,"feature_3,feature_4",True,True,0.8309967140046578,2,0.8381702656006371,0.9320623825084254,2,0.08653685618686209
1013,"feature_3,feature_4",True,True,0.8332988485444903,2,0.9186420586167866,0.9508854828088844,3,0.06226350816724817
1014,"feature_3,feature_4",True,True,0.8318499928659501,2,0.8356904616342694,0.9363505581483847,2,0.1087042749402902
1015,"feature_3,feature_4",True,True,0.8285966707335273,2,0.8157065118017421,0.9332282528046627,3,-0.04057263626981513
1016,"feature_3,feature_4",True,True,0.8243548966969015,2,0.800008979275983,0.9377814126959384,2,0.12681749658135985
1017,"feature_3,feature_4",True,True,0.8315855400606996,3,0.8079956632431957,0.9376324305842725,2,0.12246713715845195
1018,"feature_3,feature_4",True,True,0.8262712168101805,2,0.889438622195853,0.9406453157923963,2,0.08226845654585369
1019,"feature_3,feature_4",True,True,0.8254788970922593,2,0.8624486602194047,0.930634453296006,2,0.048193116670703404
1020,"feature_3,feature_4",True,True,0.8284477777708964,2,0.856873338762675,0.9406453157923963,3,-0.05168497983940539
1021,"feature_3,feature_4",True,True,0.8340514242916984,2,0.8233661794281449,0.9349204349346147,2,0.19607267887854413
1022,"feature_3,feature_4",True,True,0.8299515031028403,2,0.8203044875977962,0.923505777240663,2,-0.03578564162955492
1023,"feature_3,feature_4",True,True,0.8257881277676388,2,0.7238597850031563,0.9320623825084254,2,-0.005977307181532681
1024,"feature_3,feature_4",True,True,0.8303799288818708,2,0.8651906799577229,0.9435151725200662,3,-0.039298839612607515
1025,"feature_3,feature_4",True,True,0.8301068643242143,2,0.9013628926761958,0.9420783643413007,2,0.06290480383678373
1026,"feature_3,feature_4",True,True,0.8264573206785922,2,0.8333330417254019,0.930634453296006,2,0.12212908904138935
1027,"feature_3,feature_4",True,True,0.8316661750546739,2,0.8891977984140828,0.930634453296006,2,0.016449278568719354
1028,"feature_3,feature_4",True,True,0.8253375522791766,2,0.8088385257186893,0.9392129985772756,5,-0.050086495255744115
1029,"feature_3,feature_4",True,True,0.8324774212496528,3,0.7671539659230978,0.9349204349346147,2,0.4080338193445704
1030,"feature_3,feature_4",True,True,0.8320960290397738,2,0.8473434839602603,0.9377814126959384,2,0.033894325048304697
1031,"feature_3,feature_4",True,True,0.8315365989831369,2,0.9059452936416587,0.9405723008526959,2,-0.013197414746724857
1032,"feature_3,feature_4",True,True,0.8307200114901897,3,0.7954558373026961,0.9405723008526959,3,-0.026584842374736024
1033,"feature_3,feature_4",True,True,0.8281486643991522,2,0.8820303596069856,0.9392129985772756,2,0.08464102887740724
1034,"feature_3,feature_4",True,True,0.8292787734296203,2,0.8531853983466998,0.9392129985772756,4,0.00889968519696229
1035,"feature_3,feature_4",True,True,0.8335938046134616,2,0.909853357806723,0.9449877338783564,2,0.1410589908471602
1036,"feature_3,feature_4",True,True,0.8313199197778214,2,0.8365175054156684,0.9420783643413007,2,0.2859935377688835
1037,"feature_3,feature_4",True,True,0.8314769825020233,2,0.8297591716175309,0.9449877338783564,2,0.0676450019954018
1038,"feature_3,feature_4",True,True,0.8321960062748247,2,0.7547818783595702,0.9406453157923963,2,0.03136935933837287
1039,"feature_3,feature_4",True,True,0.8311800898602241,3,0.8389959835838495,0.9406453157923963,2,0.1876379545094966
1040,"feature_3,feature_4",True,True,0.8279353021429942,2,0.892531692171438,0.9406453157923963,4,-0.039247406364880076
1041,"feature_3,feature_4",True,True,0.8285584344597019,2,0.8131899997308892,0.930634453296006,2,0.17049496127492952
1042,"feature_3,feature_4",True,True,0.8287481567610425,2,0.8669494699388807,0.9392129985772756,2,0.06064078352909276
1043,"feature_3,feature_4",True,True,0.8301599393722195,3,0.9008168779392047,0.9320623825084254,2,0.1833169327691134
1044,"feature_3,feature_4",True,True,0.8315325330799576,2,0.9050923289405336,0.9420783643413007,2,-0.006518935226961287
1045,"feature_3,feature_4",True,True,0.8233846961270181,3,0.6968081266443671,0.9200562383516153,2,0.2536914862839982
1046,"feature_3,feature_4",True,True,0.8336272180683889,2,0.8537843624447655,0.9363505581483847,2,0.3471453801076373
1047,"feature_3,feature_4",True,True,0.8317917555669649,2,0.7855649990358795,0.9334910430546283,3,0.06944491891201986
1048,"feature_3,feature_4",True,True,0.8319360657263738,3,0.8251651284797973,0.9363505581483847,2,0.00758994577413213
1049,"feature_3,feature_4",True,True,0.8292715645945591,2,0.8997175261260122,0.9435151725200662,3,0.07096601290494016
1050,"feature_3,feature_4",True,True,0.82730022700877,3,0.7175940562726842,0.9363505581483847,2,0.024910866641673978
1051,"feature_3,feature_4",True,True,0.8293430002995287,3,0.7894974713967416,0.9349204349346147,3,-0.039247406364880076
1052,"feature_3,feature_4",True,True,0.8323605455500435,2,0.8219708507541971,0.9420783643413007,2,0.19713266188071257
1053,"feature_3,feature_4",True,True,0.8298112876378712,3,0.8644787937461512,0.9420433615115128,3,-0.015772269836100906
1054,"feature_3,feature_4",True,True,0.8322381285649117,2,0.8904656529105387,0.9320623825084254,3,-0.046176504144244325
1055,"feature_3,feature_4",True,True,0.8333228360719552,2,0.8323778434164,0.9405723008526959,2,0.00816037794328454
1056,"feature_3,feature_4",True,True,0.8300061061294898,2,0.794445105596173,0.9376324305842725,2,0.013872208461881853
1057,"feature_3,feature_4",True,True,0.8346810168128802,2,0.8833745576037983,0.9420783643413007,3,0.03972163930972781
1058,"feature_3,feature_4",True,True,0.8328628042706977,2,0.844880219426788,0.9392129985772756,2,0.0005232733070331355
1059,"feature_3,feature_4",True,True,0.8237760880844218,2,0.8155645387380408,0.9449877338783564,2,0.037496487436932284
1060,"feature_3,feature_4",True,True,0.8336890220831926,3,0.8748276925257048,0.9435151725200662,2,0.1225799930561368
1061,"feature_3,feature_4",True,True,0.8320750781337855,3,0.8071523288771586,0.9376324305842725,2,0.07050764081275679
1062,"feature_3,feature_4",True,True,0.8261527727860448,2,0.8134774909602013,0.9377814126959384,2,0.0609915916789642
1063,"feature_3,feature_4",True,True,0.8316338962011607,2,0.8477987157379745,0.9392129985772756,6,-0.04177526606457879
1064,"feature_3,feature_4",True,True,0.8314030321355899,4,0.7876234240318207,0.9508854828088844,3,-0.033517742086061404
1065,"feature_3,feature_4",True,True,0.8232527723568099,3,0.7085944907190052,0.9420783643413007,2,0.3143527085103818
1066,"feature_3,feature_4",True,True,0.8299108108234364,2,0.8302755991963653,0.9392129985772756,3,-0.04030978353868595
1067,"feature_3,feature_4",True,True,0.8307580742305446,3,0.895055862149931,0.9363505581483847,2,0.03828963466625601
1068,"feature_3,feature_4",True,True,0.8349286245903061,2,0.8064587580316299,0.9406453157923963,2,0.06340607449177388
1069,"feature_3,feature_4",True,True,0.8286640725458663,2,0.8931715194248933,0.9406453157923963,2,0.09730268756045829
1070,"feature_3,feature_4",True,True,0.8335727740678104,2,0.9020805469840437,0.9435151725200662,2,0.4154750592161394
1071,"feature_3,feature_4",True,True,0.8304327576684227,3,0.7730220747739583,0.9391019905436159,5,-0.04066575813821625
1072,"feature_3,feature_4",True,True,0.8312651608937873,2,0.83097563379321,0.9420433615115128,2,0.18932790043874156
1073,"feature_3,feature_4",True,True,0.8309296264699663,2,0.8404222072800624,0.9392129985772756,2,0.11318138149042539
1074,"feature_3,feature_4",True,True,0.8281579782882491,2,0.8453437448064446,0.9420783643413007,2,-0.050742456829589375
1075,"feature_3,feature_4",True,True,0.8284044899789246,2,0.86184196324116,0.9292072554173704,2,0.0695961555996142
1076,"feature_3,feature_4",True,True,0.8246430613642536,3,0.5406619936225429,0.9377814126959384,3,0.030209656169920576
1077,"feature_3,feature_4",True,True,0.8334640289954665,3,0.7634961764201973,0.9392129985772756,2,0.0393186356837512
1078,"feature_3,feature_4",True,True,0.8290736524825146,3,0.8010088710601732,0.9263550536614495,4,-0.04776628570527191
1079,"feature_3,feature_4",True,True,0.8320452168306117,3,0.8382923768320987,0.9377814126959384,2,0.08498363041689125
