seed,method,latent_dim,epochs_run,native_ari_a,native_ari_b,native_ari_c,posthoc_ari_at_k4,posthoc_ari_relational_at_k4,posthoc_ari_scale_at_k4,posthoc_best_k_by_silhouette,posthoc_ari_at_silhouette_best_k
1000,dec,10,10,0.9702447548727119,1.2679163941111564e-05,-2.2566082572594433e-05,0.9702451478810911,1.6378508661961694e-05,-2.426245470565856e-05,4,0.9702451478810911
1000,idec,10,11,0.9686056400495565,1.4526239175249885e-05,-1.9586370926271318e-05,0.9692597014442164,1.4794932177414694e-05,-2.2101057759712653e-05,4,0.9692597014442164
1001,dec,10,30,0.22985384940648312,0.026389444085119076,-0.0002780065273884395,0.22989853501375582,0.026484549304044105,-0.00027170018889425515,4,0.22989853501375582
1001,idec,10,60,0.24659052780454485,-0.0033999692400540063,-0.00023566265258175476,0.24206153986175102,-0.0008046855867107563,0.0003313205459766655,4,0.24206153986175102
1002,dec,10,25,0.20328318797620862,0.018313642135346433,0.0002496039903037895,0.20328318797620862,0.018313642135346433,0.0002496039903037895,4,0.20328318797620862
1002,idec,10,60,0.2005251795138829,0.005661023900344809,-0.00012171536392279852,0.20222396266275006,0.006104292974730588,-0.00018400374968055786,4,0.20222396266275006
1003,dec,10,21,0.5716232936423836,0.00022641463588118257,-9.956067936714156e-06,0.5715455650860009,0.0002237947952612545,-9.899802457911034e-06,4,0.5715455650860009
1003,idec,10,32,0.6507040391721086,0.00042817018524768613,-0.00013356247561952146,0.6506831259164895,0.0003600376986699249,-9.786387333175887e-05,4,0.6506831259164895
1004,dec,10,27,0.2657366297494121,0.009656160021349454,-0.0003724292023859021,0.26575421841735597,0.009687661148716949,-0.0003713181728807079,4,0.26575421841735597
1004,idec,10,48,0.30187010392684077,0.013615231464416861,-0.0003853836346804912,0.30463841186100254,0.014967415531298702,-0.0005574787275588926,4,0.30463841186100254
1005,dec,10,23,0.5456382352319059,0.002594824491595063,0.0002616948260319015,0.5455161037314306,0.0026151271498605824,0.0002601698815183319,4,0.5455161037314306
1005,idec,10,42,0.6433901283142054,5.423862185863799e-05,-9.823433018714554e-06,0.6435943786729095,0.00013826161840720577,-5.712880531715235e-07,4,0.6435943786729095
1006,dec,10,25,0.4820110672027059,0.022810190150953272,2.4534004039770037e-05,0.4816316273138768,0.02270295485349508,1.9569902258787413e-05,4,0.4816316273138768
1006,idec,10,36,0.6873401831533629,0.004207553376647446,-0.00023091797953847025,0.6923926888587058,0.006027569181510472,-0.00033958829861466223,4,0.6923926888587058
1007,dec,10,26,0.18358957541312573,0.0024819711805005437,6.053940365965329e-05,0.1836147487272761,0.002508763479535372,5.885718793210758e-05,4,0.1836147487272761
1007,idec,10,57,0.23072043309668028,0.0036663654824390314,-0.00021182616987469813,0.2320345080494032,0.004428213643395536,-0.00013512640639631738,4,0.2320345080494032
1008,dec,10,26,0.16379897930334802,0.009983924050074217,-2.812973775201368e-05,0.16402336060791667,0.010071135443666964,-2.2436009450535156e-05,4,0.16402336060791667
1008,idec,10,55,0.14898035830604964,0.0025948337043840393,-9.462815238039735e-05,0.15212223681511158,0.0035501200672907207,-0.00015171675381748533,4,0.15212223681511158
1009,dec,10,33,0.03097434438991829,0.013727635320464948,0.00016169780457881775,0.03099337688558858,0.01379817888354321,0.00016786394992730666,4,0.03099337688558858
1009,idec,10,60,0.03678244991699707,0.0037773661561496595,-0.0003286352268265055,0.036772119947486935,0.004431868332685003,-0.00026205167975353413,4,0.036772119947486935
1010,dec,10,22,0.506282117384594,0.025834920415399233,-0.00010646553528689599,0.506900664105509,0.026076258652597842,-0.00017676234909167791,4,0.506900664105509
1010,idec,10,45,0.6290288898141752,0.003241307399579585,-6.177658172532442e-05,0.6292480156600258,0.004086648860431242,-5.289258200318562e-05,4,0.6292480156600258
1011,dec,10,24,0.6039114136821263,0.00028116803971472195,0.00010192063281412456,0.6038946907811228,0.00030019095451671056,0.00010382434562083828,4,0.6038946907811228
1011,idec,10,29,0.6899731733548342,0.00020744521592397014,4.387919091095917e-05,0.6895836229748508,4.88796588232622e-05,2.9478957088460037e-06,3,0.6917811660643652
1012,dec,10,17,0.5630288851499624,0.002385253857822226,-4.953981656903221e-05,0.5630288851499624,0.002385253857822226,-4.953981656903221e-05,4,0.5630288851499624
1012,idec,10,43,0.6416145040740742,-3.9577400187822796e-07,-5.373621161937245e-05,0.6415811821951893,-2.1312070638915072e-05,-6.605825225633034e-05,4,0.6415811821951893
1013,dec,10,24,0.49324622268007945,0.017067071830408526,-3.5084788584773495e-05,0.4941476086570051,0.017313411649460153,-0.00014417842284987362,4,0.4941476086570051
