architecture,seed,n_epochs,mse,ari_a,ari_b,ari_c
wide,27,539,0.486,0.314,0.061,0.001
wide,28,486,0.5486,0.07,0.31,0.002
wide,29,440,0.4888,0.356,0.114,0.0
wide,30,467,0.7093,0.065,0.148,-0.005
wide,31,1071,0.4893,0.03,0.352,0.006
wide,32,748,0.6527,0.116,0.121,0.0
wide,33,504,0.5055,0.051,0.162,-0.005
wide,34,636,0.5149,0.379,0.096,-0.001
wide,35,586,0.4941,0.404,0.122,0.001
wide,36,867,0.4674,0.0,0.236,0.002
wide,37,984,0.4826,0.359,0.131,-0.001
wide,38,1073,0.4483,0.372,0.086,0.001
wide,39,486,0.5418,0.07,0.429,-0.003
wide,40,860,0.4619,0.383,0.085,-0.002
wide,41,572,0.5112,0.148,0.123,-0.001
wide,42,551,0.5134,0.024,0.402,-0.007
wide,43,680,0.6797,0.001,0.4,-0.004
wide,44,982,0.503,0.023,0.151,-0.006
wide,45,557,0.5382,0.005,0.244,0.001
wide,46,572,0.511,0.245,0.303,-0.003
wide,47,776,0.4901,0.247,0.178,-0.001
wide,48,840,0.5088,0.043,0.05,-0.005
wide,49,705,0.4939,0.126,0.195,0.002
wide,50,513,0.5177,0.095,0.07,0.003
wide,51,612,0.5236,0.047,0.088,0.003
wide,52,696,0.7059,0.008,0.221,-0.003
wide,53,521,0.541,0.086,0.002,-0.001
wide,54,507,0.5226,0.004,0.377,-0.007
wide,55,602,0.4718,0.317,0.026,-0.001
wide,56,593,0.4994,0.0,0.798,-0.003
wide,57,879,0.4492,0.326,0.119,0.002
wide,58,1152,0.4491,0.345,0.082,0.0
wide,59,737,0.4974,0.357,0.11,-0.001
wide,60,648,0.4976,0.264,0.169,0.002
wide,61,800,0.5023,0.321,0.073,0.0
wide,62,713,0.5054,0.048,0.262,0.007
wide,63,691,0.4752,0.058,0.175,-0.004
wide,64,764,0.4765,0.099,0.049,0.001
wide,65,693,0.528,0.001,0.71,-0.002
wide,66,701,0.5008,0.434,0.072,0.0
wide,67,796,0.4542,0.474,0.001,-0.0
wide,68,513,0.5097,0.071,0.123,-0.001
wide,69,490,0.5267,0.316,0.095,-0.002
wide,70,866,0.4767,0.018,0.478,0.003
wide,71,717,0.5224,0.01,0.234,-0.003
wide,72,548,0.535,0.002,0.295,0.007
wide,73,575,0.4673,0.267,0.046,-0.001
wide,74,760,0.5279,0.016,0.23,0.009
wide,75,421,0.7059,0.021,0.175,-0.001
wide,76,853,0.4639,0.304,0.069,0.001
wide,77,668,0.5296,0.119,0.086,-0.001
wide,78,875,0.5181,0.03,0.139,0.0
wide,79,686,0.5011,0.038,0.225,0.015
