c,seed,eps_hat,E2_hat,ARI_A_distance,ARI_B_relational,ARI_C_scale
0.0,42,0.03519727647608717,0.07271742026399082,0.9650082443959267,0.9153705484661201,0.6621410799661955
0.0,43,0.025253134823645662,0.05001630022269682,0.9640201953046647,0.9118898323084781,0.6327513936524992
0.0,44,0.024422360169601923,0.0557471996911542,0.9679522853733028,0.919982388575249,0.6713234883549559
0.0,45,0.025399685891579895,0.060189355269144845,0.9712323000927322,0.9077277979290772,0.7241146134733988
0.0,46,0.0231321943362134,0.05336660878690004,0.9663291165736881,0.9163254148989557,0.6661761298179419
0.1,42,0.04727523037173569,0.11236632395470228,0.9565436257237752,0.883527918861795,-0.028206710344902238
0.1,43,0.033830908993956944,0.09925067683405453,0.9513357315535934,0.8863009530969725,-0.032694463411880655
0.1,44,0.03629007149528404,0.11458336614132988,0.9620692629324321,0.8564288379925687,0.11643907703768491
0.1,45,0.03066538257756221,0.06809369312273954,0.9659876930643918,0.8779460987017644,-0.022435128623081734
0.1,46,0.02857405055618762,0.08201562187079185,0.9614406624415576,0.8632648981673048,0.01574361593034584
0.2,42,0.07788176807257699,0.3458027031388907,0.928467262236241,0.8190523876921033,-0.005433793532654409
0.2,43,0.06335617407231844,0.3274125061290705,0.9221201485295818,0.7743970160240847,-0.05019762391701952
0.2,44,0.0711780915261658,0.3742770710080672,0.927834516668495,0.7986810217183223,-0.0005164383169476345
0.2,45,0.06450984480926758,0.32592906321723025,0.932956677482995,0.7846889759078424,-0.026071743158521597
0.2,46,0.05702880320185158,0.2894026779367298,0.9224076581049729,0.7797084423601042,0.037588916593326756
0.3,42,0.1220421962396668,0.773094282507143,0.8446353576508441,0.6721560248150583,0.00355337312498547
0.3,43,0.11674342524349522,0.7710002799381994,0.8488785394585351,0.6633508868113569,-0.05115937655219609
0.3,44,0.11370500513807338,0.7796877004905753,0.851608056580649,0.7233166713438421,-0.05109660841690428
0.3,45,0.10456764087856572,0.6937651456932595,0.8619931147027653,0.548946407531122,0.011745974681547875
0.3,46,0.11191711185061991,0.7330171200367759,0.85831598142644,0.5188127123206574,0.02164481667257174
0.4,42,0.1875921394143078,1.3964565892958225,0.7041409372467751,0.3833549238309161,-0.00780042641645031
0.4,43,0.18619292884974187,1.34893637025406,0.7355965971538251,0.380588858865729,0.01602248754957219
0.4,44,0.18244478349580817,1.3866035624427435,0.731411369332519,0.5212787270547401,-0.05160363779182698
0.4,45,0.1800210848591593,1.327953385193268,0.7470572935282458,0.4096310081256934,-0.05103953767685775
0.4,46,0.1717690749383594,1.3043068681238288,0.7341217457992522,0.33805420649960877,-0.051953313162293804
0.5,42,0.2770819091596653,2.0968803000609944,0.56173049168909,0.14124926812383504,-0.003043140184242771
0.5,43,0.26616679943884386,2.116701994213661,0.5749289824929935,0.2791676707276745,-0.0066755276021411205
0.5,44,0.2748187684786729,2.1249420599227307,0.5608114769660901,0.22609476195117767,-0.04888705984299078
0.5,45,0.26807525146739497,2.086729045476039,0.5769267331170904,0.31847835141354136,-0.008653414538735218
0.5,46,0.2651828283775011,2.1217896535926597,0.5640150276393614,0.18150995470121165,-0.020192624013081136
0.6,42,0.376372663782243,3.021036926570005,0.38852217851369486,0.09491014972359142,-0.001994676764466842
0.6,43,0.37619787954716977,3.0234204998103307,0.4178261647577536,0.31988225961961436,-0.05133914447139863
0.6,44,0.38409039288542884,3.0742452504848656,0.39865065236996633,0.2422562265474379,-0.024792573539062432
0.6,45,0.37211372661376557,2.987163815301924,0.40736036275972126,0.15205225911218687,-0.00566776046040758
0.6,46,0.3783475792423789,3.04731438213083,0.4088953268923642,0.14210042576173135,-0.027304301468257408
0.7,42,0.5144655184370561,4.179681784077115,0.2791280287692746,0.10859264711802794,-0.012119449052784477
0.7,43,0.5070446356498086,4.167808559853131,0.285565418505972,0.11878077662445276,-0.002493147680675386
0.7,44,0.5069929243726153,4.1560759406655245,0.2841929188168471,0.08759843206676929,-0.021925013467250325
0.7,45,0.5033291580198365,4.11350317373923,0.28766553357404584,0.13460582479608071,-0.017798841480466406
0.7,46,0.5026290806471182,4.110574999161272,0.2901146354057205,0.06701686791416145,-0.006368990425461068
0.8,42,0.6500600877356304,5.390790566406872,0.19228442750592678,0.07676401363601078,-0.0406023549159356
0.8,43,0.6519245599901933,5.420044223093612,0.18945301121295324,0.08788679435184488,-0.01817395794347801
0.8,44,0.655056445939282,5.4152070427718595,0.19761077347469805,0.09142506026961454,-0.017516439802528604
0.8,45,0.6515570319699663,5.395479004599788,0.1903628673913999,0.12887864502102678,-0.01531504440303053
0.8,46,0.6563452494228367,5.443218457592845,0.189071823088189,0.09089194314202814,-0.02521110960004107
