d_total,seed,ari_k4,sil_k4,top1_evr,evr_uniformity_std
10,2000,0.026209114527643695,0.3707198181959898,0.10879933816633426,0.014349456327240983
10,2001,0.000604550062773865,0.3737161240766404,0.10999071970066426,0.014726046271942933
10,2002,0.10726297756992884,0.3752851864182518,0.10989733153574716,0.014729825204484959
10,2003,0.030713445565908506,0.37572257840934103,0.11061578803729545,0.01484253520933902
10,2004,0.05285006020008718,0.3798433998581106,0.10987240494788386,0.014620198607390705
10,2005,0.015180953941767989,0.37658423111283307,0.10953000199883883,0.014430474056856697
10,2006,0.06915365290729887,0.3889359524720849,0.10913557382922974,0.014450015338443485
10,2007,0.0697104165600299,0.3882558963739043,0.10899186353091993,0.014352283865145189
10,2008,0.02258453685425113,0.37140398928419643,0.10891024129367531,0.0143594810119148
10,2009,0.10589695882955931,0.3692691216757614,0.11015073902856719,0.014799094903795926
10,2010,0.06216691390544267,0.3800822798984243,0.10939415196617489,0.014469503455781399
10,2011,0.05979810209355669,0.3718702313682613,0.10971474296124854,0.014682230456483814
10,2012,0.079745216496687,0.37396604808357997,0.11017092686222633,0.014809683559667247
10,2013,0.028000664831428625,0.38064227717313537,0.10851459441286615,0.014175858739788277
10,2014,0.008928369196539073,0.3846809954580053,0.11097395798398296,0.015136831180129047
20,2000,0.02454015399413265,0.37036681059191906,0.06367321706025528,0.00670053986691725
20,2001,0.012759321541247811,0.3786412617138887,0.06432665943268377,0.00675536663228627
20,2002,0.025628031955245923,0.36665429239350655,0.06422854639009083,0.006810519695513681
20,2003,0.04675658578412538,0.37603846324859835,0.06464425880600452,0.006910932104637368
20,2004,0.07826308902636302,0.379766767165078,0.06413947788389272,0.006705347175728064
20,2005,0.017301007747402477,0.37571467766607347,0.06402229383371184,0.006668599397077295
20,2006,0.04893011533348133,0.3869975259610601,0.0637341233705495,0.006707694834862835
20,2007,0.006361102986838571,0.3764885137492614,0.06373083703168056,0.006653933137019832
20,2008,0.007264323864181593,0.38760528345283624,0.06362260867808134,0.006627019267123119
20,2009,0.04213497305457816,0.380690498712514,0.064439595537217,0.006804837161761532
20,2010,9.691138246161274e-05,0.3780659627009637,0.0639228171582476,0.006705941414463847
20,2011,0.03341052256957071,0.3786779524839351,0.06408225813734728,0.006742661900046987
20,2012,0.01724310030907989,0.3830134721780994,0.06436041750060185,0.0068553790182648705
20,2013,0.008933941496715829,0.3825562577696218,0.06356153811103668,0.006586962094764122
20,2014,0.022161744550804694,0.3815765742191239,0.06494066383805648,0.007017506148491265
50,2000,0.002076582060209525,0.3617190078714263,0.028490904454933238,0.002402883182609804
50,2001,0.01298248440289329,0.3761080148206295,0.028874280731506784,0.0024274824816465585
50,2002,0.009395211663198823,0.37845728377618015,0.0287454103591685,0.0024469508825097517
50,2003,0.000621100776965905,0.36674131473505417,0.028907041772572504,0.002464067521371564
50,2004,0.02961384511776938,0.36834579032542003,0.02865253976211613,0.002424160884533992
50,2005,0.00502000385861021,0.3842505325531431,0.02861797458530409,0.0023696270247213426
50,2006,0.0070663383739914395,0.3892557093916475,0.028519782420709745,0.0024017230842305433
50,2007,0.0060907381350850266,0.3812744168257365,0.02860664810505638,0.0023654812963976933
50,2008,0.00023828670584111352,0.36942472283276395,0.028523598593677608,0.002400125743328985
50,2009,0.0013144344402590638,0.36992358393741437,0.028935809327976098,0.0024426446114490684
50,2010,7.07721929045509e-05,0.3750557246601436,0.028600568325753226,0.002414245962596552
50,2011,0.003993840671132295,0.37876118020026617,0.028644738174748264,0.0024192003934359533
50,2012,0.03467731831571333,0.3802637872283118,0.02873424308555474,0.0024404717472363124
50,2013,0.015015069446839576,0.38117927994464457,0.028457206064444296,0.0023581644938437066
50,2014,0.005688173281105748,0.3776276070853039,0.02901503181818667,0.002491124373819066
100,2000,0.01669716433300076,0.3603390333858914,0.014972034022050327,0.0013030016035222626
100,2001,0.006233916891092385,0.37600064246416764,0.015162736857656452,0.001308696991970395
100,2002,0.006117896346590006,0.3687125702321738,0.015125233372643298,0.001312402219490853
100,2003,0.004004173720599365,0.37568236832291907,0.015200043278957878,0.001327679826720449
100,2004,0.003782151204816743,0.3720944106782325,0.01502501114791489,0.0013025631925421446
100,2005,0.004694774740210451,0.38773409399108116,0.014988038578806161,0.0012779445083046506
100,2006,0.0012430005919257458,0.37659501530668166,0.014936557612259262,0.0012839028550149481
100,2007,0.004885342083503265,0.36788195588928035,0.014987611534302718,0.0012822650556063011
100,2008,0.0018072891538293814,0.3736521721003888,0.01494844040376765,0.001293067629242744
100,2009,0.0032365407184733576,0.3724986819924234,0.01517638045722486,0.0013083349680228676
100,2010,0.004226826522439891,0.3670129679058676,0.015054924950937366,0.0012993605223592874
100,2011,0.005699543948257314,0.3781187151439923,0.015032727040787943,0.0012883974562446214
100,2012,0.001423471594535128,0.3753488182250214,0.015082089215275271,0.001311905644618495
100,2013,0.006049252106486917,0.37507541602492334,0.01493530608842957,0.0012892417807004151
100,2014,0.0010301974246941488,0.38406268344433364,0.015219831062552555,0.0013208338086877882
