ari_k4,sil_k4,best_k_by_silhouette,ari_at_best_k,seed
0.10662222276065454,0.3974977939387733,4,0.10662222276065454,1000
0.02775518051349964,0.38350212681219636,4,0.02775518051349964,1001
0.025660187209155104,0.38060767419426417,4,0.025660187209155104,1002
0.06897904979855686,0.3759443757079573,4,0.06897904979855686,1003
0.004138674792213084,0.37346096877373486,4,0.004138674792213084,1004
0.04678443662681227,0.3727194330945356,4,0.04678443662681227,1005
0.06816508957169527,0.37813625473421286,4,0.06816508957169527,1006
0.009626757231347993,0.3812107155976922,4,0.009626757231347993,1007
0.08160800114597094,0.37442235534531154,4,0.08160800114597094,1008
0.022008941957638375,0.37848506166068313,4,0.022008941957638375,1009
0.02922047266735801,0.3791567102422939,4,0.02922047266735801,1010
0.09134384508216367,0.3723081095101136,4,0.09134384508216367,1011
0.07465878980245179,0.38512397798802545,4,0.07465878980245179,1012
0.09863638782163886,0.38510993964481316,4,0.09863638782163886,1013
0.14775745231208057,0.3751081751400292,4,0.14775745231208057,1014
0.012762168300151103,0.3734931531550255,4,0.012762168300151103,1015
0.05709225042460201,0.37791036655247756,4,0.05709225042460201,1016
0.09281751385102746,0.37461199381304966,4,0.09281751385102746,1017
0.027857773289430874,0.37459712153756086,4,0.027857773289430874,1018
0.07184397994242313,0.3728598031760793,4,0.07184397994242313,1019
0.07168091702557011,0.37014221947999304,4,0.07168091702557011,1020
0.008219786909826785,0.3683747596508185,4,0.008219786909826785,1021
0.0815195117505565,0.3714808983053035,4,0.0815195117505565,1022
0.04414641662321214,0.3695145233111126,4,0.04414641662321214,1023
0.029610965288788527,0.38382037238533767,4,0.029610965288788527,1024
0.06669961094276995,0.3842355423097682,4,0.06669961094276995,1025
0.06834359615560824,0.372567859855376,4,0.06834359615560824,1026
0.11257669118127285,0.38528636647495573,4,0.11257669118127285,1027
0.044054165218710514,0.37656831856718015,4,0.044054165218710514,1028
0.09196003612110688,0.3773972922370335,4,0.09196003612110688,1029
0.07274315076649442,0.38734354235695034,4,0.07274315076649442,1030
0.035997198498708076,0.3922323120748191,4,0.035997198498708076,1031
0.003222249716320235,0.36763551856671745,4,0.003222249716320235,1032
0.006264890151144774,0.3723533664481871,4,0.006264890151144774,1033
0.03880340394154361,0.38042058260227724,4,0.03880340394154361,1034
0.07030802642029128,0.3677888427769359,4,0.07030802642029128,1035
0.050341428483216585,0.3784388372133895,4,0.050341428483216585,1036
0.11043215979229104,0.37862934043038304,4,0.11043215979229104,1037
0.08843433245805483,0.38845180062527807,4,0.08843433245805483,1038
0.0674522504115419,0.3872137831049432,4,0.0674522504115419,1039
0.07589462868893455,0.3771185135968867,4,0.07589462868893455,1040
0.0951029044067852,0.37569953294792097,4,0.0951029044067852,1041
0.050521881198384806,0.3725441121259723,4,0.050521881198384806,1042
0.07690080000820256,0.3714867182358741,4,0.07690080000820256,1043
0.13147834334988817,0.38605581814532275,4,0.13147834334988817,1044
0.05245433893308689,0.37703692784872556,4,0.05245433893308689,1045
0.06159107107129649,0.38354327750095635,4,0.06159107107129649,1046
0.12514898838349198,0.3761457371639963,4,0.12514898838349198,1047
0.020471746503806655,0.3763485047930487,4,0.020471746503806655,1048
0.05577968979047569,0.37980652479033855,4,0.05577968979047569,1049
0.09122546673850168,0.3813114058096665,4,0.09122546673850168,1050
0.007502239077824061,0.38043584277235204,4,0.007502239077824061,1051
0.12882277155918534,0.38960935859650303,4,0.12882277155918534,1052
0.027815331132733875,0.3867381042160263,4,0.027815331132733875,1053
0.1175716311088576,0.38677441653169764,4,0.1175716311088576,1054
0.006347991934054913,0.3768784951402921,4,0.006347991934054913,1055
0.07277157716549662,0.37507864024893534,4,0.07277157716549662,1056
0.06820367131717556,0.3747206445631406,4,0.06820367131717556,1057
0.08093045834799045,0.38269654740545356,4,0.08093045834799045,1058
0.07830817079984938,0.3785041120921307,4,0.07830817079984938,1059
0.045974867325418625,0.3694773415094772,4,0.045974867325418625,1060
0.062269795169795146,0.37979374561706036,4,0.062269795169795146,1061
0.07520804352491026,0.37812017155899086,4,0.07520804352491026,1062
0.033268435970576486,0.3652695072135384,4,0.033268435970576486,1063
0.03114324042666514,0.37612018461136293,4,0.03114324042666514,1064
0.06477808818323884,0.37104502847427157,4,0.06477808818323884,1065
0.09175470146928098,0.3861509687607147,4,0.09175470146928098,1066
0.0819440177979229,0.38382372155820965,4,0.0819440177979229,1067
0.027819162635778417,0.38255692518575923,4,0.027819162635778417,1068
0.016794444428155655,0.3865747868162988,4,0.016794444428155655,1069
0.03340377147111584,0.392991599416819,4,0.03340377147111584,1070
0.019234506436122054,0.37634039741989145,4,0.019234506436122054,1071
0.010853019654326761,0.38020271883425694,4,0.010853019654326761,1072
0.06820769232217219,0.3759960978632747,4,0.06820769232217219,1073
0.03763786466192968,0.3690077560996337,4,0.03763786466192968,1074
0.10561802932643677,0.37975670027484215,4,0.10561802932643677,1075
0.025536851377554983,0.3846704342822342,4,0.025536851377554983,1076
0.06919656813127668,0.38450747610615943,4,0.06919656813127668,1077
0.0033571347377811733,0.37987208196177696,4,0.0033571347377811733,1078
0.09820440803653313,0.3768557468735766,4,0.09820440803653313,1079
