seed,naive_ari,naive_k,naive_f1,hand_ari,hand_f1,oracle_f1,oracle_ari
100,-0.05002294147554519,2,0.08426596445029624,0.06376546468166315,0.19668100799016594,0.39625,0.3022218862018433
101,-0.05059145418070281,2,0.08481314603763583,0.06333433066710786,0.19631901840490798,0.39625,0.3022218862018433
102,-0.05011155147130952,2,0.08434370057986294,0.06176719075368474,0.19500304692260817,0.4,0.30596440414327947
103,-0.05022175627424295,2,0.08444385802876368,0.06390953467535583,0.1968019680196802,0.4,0.30596440414327947
104,-0.050161043540597486,2,0.08438818565400844,0.06441519824308949,0.19722650231124808,0.4,0.30596440414327947
105,-0.05056000678219141,2,0.084779440985561,0.06405378453639414,0.19692307692307692,0.39875,0.3047160766244534
106,-0.05035089273031726,2,0.08456659619450317,0.062121483548323475,0.19530057979859627,0.39625,0.3022218862018433
107,-0.04982430218931304,2,0.08409986859395532,0.06550624773829876,0.19814241486068113,0.4,0.30967433412274714
108,-0.050086495255744115,2,0.08432147562582346,0.06616582263747603,0.19869605712511643,0.4,0.30596440414327947
109,-0.05033940168779991,2,0.08455542343770643,0.06521429781203114,0.19789734075448362,0.39875,0.3047160766244534
110,-0.05019762391701952,2,0.08442158026645562,0.06470514350103265,0.1974699166923789,0.4,0.30596440414327947
111,-0.050233746471465744,2,0.0844550013196094,0.06587221757057322,0.19844961240310077,0.40789473684210525,0.3176042215909076
112,-0.05046311564273081,2,0.0846784863720561,0.06326263148630451,0.1962588163140141,0.39625,0.3022218862018433
113,-0.05036233454311204,2,0.08457777190432139,0.0650685972464237,0.19777503090234858,0.4,0.30596440414327947
114,-0.050304631946610834,2,0.08452192287374538,0.06550624773829876,0.19814241486068113,0.4039473684210526,0.31363543337356875
115,-0.05061218578133757,2,0.08483563096500531,0.06340607449177388,0.1963792574409328,0.39875,0.3047160766244534
116,-0.05035089273031726,2,0.08456659619450317,0.06106188318856707,0.19441069258809235,0.39375,0.29973098193262265
117,-0.05020971546557073,2,0.08443271767810026,0.06398163710216608,0.19686250384497078,0.3975,0.30346857064397464
118,-0.0501240018355601,2,0.08435481745090286,0.0634778630004994,0.19643953345610804,0.39875,0.3047160766244534
119,-0.05024568618519183,2,0.0844661475518015,0.06550624773829876,0.19814241486068113,0.39875,0.3047160766244534
