seed,naive_ari,naive_ari_truek,naive_k,hand_ari
100,0.4718289045885152,0.4583646231707785,3,0.2186205920121779
101,0.4703669753871535,0.4637507684993078,3,0.2161385204687789
102,0.4755157357413567,0.4665212251414509,3,0.21526966021769545
103,0.46947558031400927,0.45519029371258707,3,0.21671987313932584
104,0.474431876564392,0.46282074794639194,3,0.22234395844373744
105,0.4729354446932681,0.4716082062247281,3,0.22812494001845116
106,0.4676651239799256,0.4521309013541275,3,0.21545136740705942
107,0.47251364851421473,0.46814175174910494,3,0.21975836807221602
108,0.4720513423254753,0.46793176861566493,3,0.2125891443344268
109,0.47002112236604954,0.46348276827841456,3,0.22005634533750834
110,0.4719222673626734,0.46781706087965935,3,0.21992421830154363
111,0.4678802295460021,0.47303180073741347,3,0.21881129828452733
112,0.4743332185947594,0.4647004314042406,3,0.21605534491090234
113,0.4710134312740921,0.46437619971722455,3,0.22660847650702354
114,0.47337157385313267,0.46022642204647507,3,0.2236426761010593
115,0.4754460914635123,0.46763746635700687,3,0.2178481313442357
116,0.4767428276333502,0.4703810323346959,3,0.21851721872380567
117,0.47599775219656615,0.4760890259574098,3,0.2226657368933246
118,0.4724420846543091,0.4636747143233799,3,0.21901012666126957
119,0.4742065502521954,0.4610759946639408,3,0.2204141301845387
