seed,naive_ari,naive_k,naive_f1,hand_ari,hand_f1,oracle_f1,oracle_ari
100,-0.03806268223069377,2,0.2205585264408794,0.3882308008649471,0.21419787590832867,0.4098360655737705,0.23396176770095006
101,-0.04544895176908955,2,0.2223816355810617,0.4005615191833166,0.21471706553343772,0.42343434343434344,0.24556269294656624
102,-0.04488388611429764,2,0.2221163012392755,0.4051678035017097,0.21457308895842647,0.4065040650406504,0.22931422125595421
103,-0.04526867651940729,2,0.22227527754566073,0.39594388888541915,0.2146690518783542,0.4043583535108959,0.22601001484827535
104,-0.043086373558347,2,0.2217453505007153,0.40025014180245316,0.21474108041606085,0.4166326946596005,0.24003116115479586
105,-0.049560704619387816,2,0.22328472388238108,0.40597236501335776,0.2146450531022918,0.40986257073565074,0.23181388150339416
106,-0.053389875072337896,2,0.2240248121197662,0.3958028888337404,0.2146450531022918,0.4184168012924071,0.2403708085432486
107,0.0015144957127911098,2,0.2133608341927352,0.4020776640450172,0.2146450531022918,0.4120767033863729,0.23552730262110005
108,-0.04647314458544661,2,0.22248718254441396,0.39813609611026096,0.21419787590832867,0.4029544521953221,0.22720448202217564
109,-0.04518120186697462,2,0.2221957325068542,0.4013888327031449,0.2146690518783542,0.41210139002452983,0.23587342524624505
110,-0.03916705756873458,2,0.22087205146533237,0.39918345152628393,0.2146930560214693,0.4098360655737705,0.23396176770095006
111,-0.04742562308637974,2,0.22256568778979907,0.3954721991077715,0.21452513966480447,0.41636289995949777,0.23872789429965316
112,-0.05069231557677805,2,0.22346902232302734,0.39318308449606176,0.21474108041606085,0.4135702746365105,0.23544171058852162
113,-0.038327243951034644,2,0.2206617472030469,0.3925727404377605,0.21476510067114093,0.41717294451194814,0.2395526745664411
114,-0.047498016235476094,2,0.22264555304202882,0.3853117111702146,0.21471706553343772,0.4159220146222583,0.2387285707479714
115,-0.039753377778652475,2,0.22097868793904035,0.39499108180597736,0.21445325589187983,0.41190864600326266,0.23529264164645908
116,-0.053644791199540034,2,0.2248549323017408,0.40388531099064023,0.21474108041606085,0.4209245742092457,0.24357425044597814
117,-0.04044767569195245,2,0.22111150779483518,0.4017789487708275,0.21476510067114093,0.42355889724310775,0.25095799539422897
118,-0.04268303540442148,2,0.22163965681601525,0.40016002430199765,0.2146690518783542,0.4245204336947456,0.25168485263087736
119,-0.04547697750959906,2,0.2222752206057715,0.4021448477905283,0.21471706553343772,0.4082457558609539,0.23018038783430247
