seed,naive_ari,naive_ari_truek,naive_k,hand_ari
100,0.469967700801081,0.4609375098251469,3,0.296174293317437
101,0.4680555528829655,0.4618726589944721,3,0.42177693339122313
102,0.4734045776913009,0.4643422481263637,3,0.42807308812890427
103,0.4669882093875048,0.452704369207325,3,0.2918505679265514
104,0.4719130190945032,0.4588340929554507,3,0.4256331573483512
105,0.46960085335057855,0.4663645679127513,3,0.43137726248542774
106,0.4659244918197941,0.450129596712871,3,0.41938949495559935
107,0.47088419032566436,0.46524766957574937,3,0.42728276702250784
108,0.47014010948493373,0.46378961878386077,3,0.4246928362960573
109,0.4679412052504061,0.4598321099365623,3,0.43383075925493786
110,0.4702959596285237,0.46377523271449844,3,0.3024257899260674
111,0.46672769290324295,0.46870429627293286,3,0.42455844637740986
112,0.47116319595157313,0.46552253863112536,3,0.42318860064246167
113,0.4698552464896826,0.46088715875422126,3,0.42305904058331417
114,0.4717373248813188,0.4595257919344238,3,0.41957150671611143
115,0.4733354150831353,0.4650291200367146,3,0.4260052681346604
116,0.47345246115605527,0.4702409622139965,3,0.42473110943377257
117,0.47318631544996387,0.47086139158369583,3,0.43094280486938885
118,0.47104554743155214,0.460426174568949,3,0.4285909277503273
119,0.4718672944829451,0.4596907286920826,3,0.4288473067159945
